"id","feature","pval","qval","t_name"
"16149","transcript",1.2056022846707e-11,3.23438267280096e-08,"MSTRG.289.4"
"19198","transcript",1.72546421595143e-11,3.23438267280096e-08,"NM_001281806"
"16658","transcript",2.13216111433212e-10,2.66449067254371e-07,"NM_033510"
"17681","transcript",3.54523521650663e-10,3.32277170667084e-07,"NM_207036"
"17136","transcript",7.42266470510344e-10,5.56551399588656e-07,"NM_001482"
"16051","transcript",1.84353265986203e-09,1.06547255188105e-06,"NM_000814"
"19197","transcript",2.11022022078566e-09,1.06547255188105e-06,"NM_001281805"
"19341","transcript",2.27361440785501e-09,1.06547255188105e-06,"NM_001287762"
"17896","transcript",3.11462744484459e-09,1.29741536563582e-06,"MSTRG.1205.14"
"16348","transcript",3.61324259401385e-09,1.35460464849579e-06,"MSTRG.454.3"
"19181","transcript",8.11382161458596e-09,2.76533793028025e-06,"NM_001278511"
"17478","transcript",9.68370117426787e-09,2.94616951727141e-06,"MSTRG.928.1"
"19690","transcript",1.02161119563959e-08,2.94616951727141e-06,"NM_002569"
"19674","transcript",1.27594701471168e-08,3.41680382725291e-06,"MSTRG.2158.1"
"16494","transcript",1.66062337214612e-08,4.1504513481172e-06,"NM_001290232"
"16596","transcript",2.14714411805872e-08,4.80695159093776e-06,"MSTRG.551.4"
"19342","transcript",2.17973264993176e-08,4.80695159093776e-06,"NM_004213"
"17483","transcript",2.43610216443813e-08,5.07385945248807e-06,"NM_020396"
"17028","transcript",2.76184464187423e-08,5.22073320065518e-06,"NM_001286491"
"17771","transcript",2.80048190193227e-08,5.22073320065518e-06,"NM_152450"
"17281","transcript",2.92439042981485e-08,5.22073320065518e-06,"MSTRG.744.3"
"18094","transcript",3.86573467681117e-08,6.5875633197114e-06,"NM_016395"
"16848","transcript",4.93236791410112e-08,7.77675555195997e-06,"NM_213600"
"16854","transcript",4.9784511402251e-08,7.77675555195997e-06,"NM_015497"
"18417","transcript",5.86442661099085e-08,8.79429414584188e-06,"NM_001012642"
"19442","transcript",6.20723862310157e-08,8.95036061461838e-06,"NM_001243101"
"19339","transcript",7.17587802512298e-08,9.96383952451336e-06,"NM_201651"
"17029","transcript",8.2113674526596e-08,1.09944344928646e-05,"NM_032892"
"16053","transcript",1.15235819553305e-07,1.48972099139773e-05,"NM_021912"
"17886","transcript",1.44279650005075e-07,1.80301469289675e-05,"MSTRG.1205.4"
"19815","transcript",1.49915935443445e-07,1.81301561928218e-05,"NM_001166288"
"17451","transcript",1.70212513195267e-07,1.9941459749033e-05,"NM_013243"
"16825","transcript",1.82220425970492e-07,2.07013447564659e-05,"MSTRG.819.14"
"19183","transcript",2.08556194092324e-07,2.2996387401533e-05,"NM_004644"
"16805","transcript",3.39139934135702e-07,3.63267318021356e-05,"NM_006293"
"19526","transcript",3.77935141293584e-07,3.90719056903892e-05,"NM_000326"
"17558","transcript",3.8561229942502e-07,3.90719056903892e-05,"NM_001080534"
"19484","transcript",4.26365944883322e-07,4.2064366509673e-05,"NR_120369"
"19522","transcript",4.47990321061909e-07,4.30645054784896e-05,"NM_152924"
"18974","transcript",5.18434714602556e-07,4.85902936261245e-05,"NM_001145648"
"19235","transcript",6.35431995466007e-07,5.81032817317576e-05,"NM_001144903"
"17561","transcript",6.69863959190664e-07,5.97933329287095e-05,"MSTRG.1016.1"
"17109","transcript",6.99316472063671e-07,6.0646890866633e-05,"NM_001276264"
"20036","transcript",7.11779994166939e-07,6.0646890866633e-05,"NR_120374"
"17493","transcript",7.68196832368062e-07,6.39993316566192e-05,"NM_018728"
"16557","transcript",8.32075383705444e-07,6.684435590721e-05,"NM_005739"
"17683","transcript",8.38006062320318e-07,6.684435590721e-05,"NM_207038"
"18712","transcript",8.87370068314297e-07,6.93072997106313e-05,"MSTRG.1517.1"
"19338","transcript",1.05125990268462e-06,8.04321096972376e-05,"NM_020778"
"16312","transcript",1.22794024015604e-06,8.77280138003893e-05,"MSTRG.394.1"
"16197","transcript",1.22892666398755e-06,8.77280138003893e-05,"MSTRG.326.1"
"19227","transcript",1.23174149257999e-06,8.77280138003893e-05,"NM_025238"
"17404","transcript",1.24021998704205e-06,8.77280138003893e-05,"NM_032802"
"17948","transcript",1.4627202897799e-06,0.000101550710488608,"NM_006537"
"18916","transcript",1.78645557513679e-06,0.000121771308203415,"NM_001199377"
"15788","transcript",2.04626933153484e-06,0.000136990423641502,"MSTRG.261.4"
"16148","transcript",2.35258328884491e-06,0.000154733942980343,"MSTRG.289.1"
"16035","transcript",2.51553809360594e-06,0.000160554930604064,"NM_024490"
"16082","transcript",2.58836794575501e-06,0.000160554930604064,"MSTRG.175.1"
"17099","transcript",2.61926583688954e-06,0.000160554930604064,"NM_003104"
"19196","transcript",2.63352331331124e-06,0.000160554930604064,"NM_001007122"
"19817","transcript",2.65521624365217e-06,0.000160554930604064,"NM_001166283"
"17151","transcript",2.76216305750143e-06,0.000164370623850363,"MSTRG.654.1"
"18653","transcript",2.88452607111189e-06,0.000168970128759351,"NM_000761"
"17731","transcript",3.04368174175451e-06,0.00017555019768981,"NM_000236"
"15886","transcript",3.22439316557954e-06,0.000181697368690078,"MSTRG.105.1"
"18583","transcript",3.25470005235751e-06,0.000181697368690078,"NM_001038640"
"18917","transcript",3.31489510974059e-06,0.000181697368690078,"NM_015162"
"16182","transcript",3.34412335012413e-06,0.000181697368690078,"MSTRG.309.1"
"17457","transcript",4.05895653710076e-06,0.000217386115108439,"NM_014548"
"17351","transcript",4.42861420313356e-06,0.0002336832669666,"NM_002112"
"19252","transcript",4.48791550322625e-06,0.0002336832669666,"NM_001301108"
"17911","transcript",5.20335544895723e-06,0.000267224377782748,"NM_000366"
"15794","transcript",5.4016342299068e-06,0.000273658469296224,"MSTRG.261.11"
"15851","transcript",5.75492437393521e-06,0.000287669486371775,"NM_002487"
"18718","transcript",5.8406965213198e-06,0.000288115411295104,"NM_001164404"
"16455","transcript",6.04127786729691e-06,0.000291194595809654,"NM_014106"
"19582","transcript",6.05846318302294e-06,0.000291194595809654,"NM_001150"
"18370","transcript",6.34466859050775e-06,0.000301090665136881,"NR_120351"
"17072","transcript",7.17341287614914e-06,0.000336164060908539,"NR_125376"
"18037","transcript",7.26374952186859e-06,0.000336195024166486,"NM_025201"
"18548","transcript",7.53397924235788e-06,0.000344449855848777,"MSTRG.1429.7"
"16689","transcript",8.29416628433943e-06,0.000374636498795043,"NM_052849"
"15883","transcript",9.22468784736452e-06,0.000411706604044876,"NM_022805"
"18719","transcript",9.91905893488187e-06,0.00043748884643379,"NM_001145224"
"17348","transcript",1.06206583817547e-05,0.000458618473013728,"NM_003645"
"18550","transcript",1.07642219766557e-05,0.000458618473013728,"NR_120352"
"18060","transcript",1.07651175313972e-05,0.000458618473013728,"NM_001101362"
"19816","transcript",1.22610803727774e-05,0.000514665079962897,"NM_001166289"
"17093","transcript",1.23552566542173e-05,0.000514665079962897,"NM_152448"
"15850","transcript",1.34370719335752e-05,0.000553577831637072,"NM_019066"
"19085","transcript",1.38344802558255e-05,0.000563755070424887,"NM_172217"
"17460","transcript",1.4099516190802e-05,0.000568377270960393,"NM_014547"
"17115","transcript",1.43483740142614e-05,0.000569583298496133,"NM_175940"
"17723","transcript",1.4433292439886e-05,0.000569583298496133,"NM_020980"
"17931","transcript",1.49094133630179e-05,0.000582243653103688,"MSTRG.1187.1"
"19434","transcript",1.52292206327953e-05,0.00058860152734381,"MSTRG.1871.1"
"17548","transcript",1.60924513137317e-05,0.000612374668156227,"NR_102334"
"19254","transcript",1.61710035069262e-05,0.000612374668156227,"NM_003027"
"19174","transcript",1.65740240205547e-05,0.000621360160530597,"NM_001288820"
"17031","transcript",1.7120535179771e-05,0.000633216205673532,"NR_003571"
"18968","transcript",1.72280749476394e-05,0.000633216205673532,"MSTRG.1644.1"
"18978","transcript",1.74727198185565e-05,0.000634832798125638,"NR_038997"
"19057","transcript",1.77180048359649e-05,0.000634832798125638,"MSTRG.1717.2"
"20060","transcript",1.77800596967703e-05,0.000634832798125638,"MSTRG.2196.3"
"19867","transcript",1.8663224074067e-05,0.000660079500506387,"NR_077061"
"16654","transcript",1.9933824328966e-05,0.000695474446561214,"NM_207380"
"15888","transcript",2.00350067294242e-05,0.000695474446561214,"NM_005678"
"18345","transcript",2.06000581353116e-05,0.000708528605039296,"NM_018357"
"19747","transcript",2.40322597238052e-05,0.00081906310640496,"NM_001167580"
"18203","transcript",2.42538682796445e-05,0.000819168938562047,"MSTRG.1323.3"
"17082","transcript",2.46238876558946e-05,0.000824240668053116,"NM_080745"
"18591","transcript",2.5153410933676e-05,0.00083451449195001,"NM_001130136"
"19388","transcript",2.58424010608493e-05,0.000849852294536177,"NM_152336"
"19089","transcript",2.63363625586654e-05,0.000858565419412494,"NR_120365"
"17272","transcript",2.73616505579444e-05,0.000877279113636617,"MSTRG.749.1"
"17473","transcript",2.7378409254597e-05,0.000877279113636617,"NM_138792"
