"ids","type","path"
"heart328","heart","./unstranded/heart328"
"heart389","heart","./unstranded/heart389"
"heart435","heart","./unstranded/heart435"
"cortex432","cortex","./unstranded/cortex432"
"cortex455","cortex","./unstranded/cortex455"
"cortex477","cortex","./unstranded/cortex477"
"liver327","liver","./unstranded/liver327"
"liver451","liver","./unstranded/liver451"
"liver463","liver","./unstranded/liver463"
"lung341","lung","./unstranded/lung341"
"lung346","lung","./unstranded/lung346"
"lung424","lung","./unstranded/lung424"
