"id","feature","pval","qval","t_name"
"1","transcript",NA,NA,"NR_046018"
"10","transcript",NA,NA,"NR_036268"
"100","transcript",NA,NA,"NM_001243536"
"1000","transcript",NA,NA,"NM_016011"
"10000","transcript",NA,NA,"NM_001144034"
"10001","transcript",NA,NA,"NM_001144035"
"10002","transcript",NA,NA,"NM_001144036"
"10003","transcript",NA,NA,"NM_032780"
"10004","transcript",NA,NA,"NM_001144037"
"10005","transcript",NA,NA,"NM_001144038"
"10006","transcript",NA,NA,"NM_001168618"
"10007","transcript",NA,NA,"NM_020153"
"10008","transcript",NA,NA,"NM_001142281"
"10009","transcript",NA,NA,"NM_001655"
"1001","transcript",NA,NA,"NM_001195001"
"10010","transcript",NA,NA,"NM_015157"
"10011","transcript",NA,NA,"NM_001144758"
"10012","transcript",NA,NA,"NM_001144759"
"10013","transcript",NA,NA,"NR_106773"
"10014","transcript",NA,NA,"NM_001301065"
"10015","transcript",NA,NA,"NM_007180"
"10016","transcript",NA,NA,"NM_001257191"
"10017","transcript",NA,NA,"NM_004397"
"10018","transcript",NA,NA,"NM_001716"
"10019","transcript",NA,NA,"NM_032966"
"1002","transcript",NA,NA,"NM_005704"
"10020","transcript",NA,NA,"NM_182557"
"10021","transcript",NA,NA,"NR_039713"
"10022","transcript",NA,NA,"NM_006760"
"10023","transcript",NA,NA,"NM_181721"
"10024","transcript",NA,NA,"NM_198489"
"10025","transcript",NA,NA,"NR_104049"
"10026","transcript",NA,NA,"NR_104050"
"10027","transcript",NA,NA,"NR_104051"
"10028","transcript",NA,NA,"NR_003040"
"10029","transcript",NA,NA,"NM_001028"
"1003","transcript",NA,NA,"NM_133177"
"10030","transcript",NA,NA,"NM_016146"
"10031","transcript",NA,NA,"NR_037429"
"10032","transcript",NA,NA,"NM_001164280"
"10033","transcript",NA,NA,"NM_001164277"
"10034","transcript",NA,NA,"NM_001164278"
"10035","transcript",NA,NA,"NM_001164279"
"10036","transcript",NA,NA,"NM_001467"
"10037","transcript",NA,NA,"NM_001130991"
