Sample	Gene	Expression
Vehicle	Iso4	0.94198215362182
Vehicle	Iso4	1.20520209225123
Vehicle	Iso4	0.852815754126947
Topotecan	Iso4	0.1611945386638
Topotecan	Iso4	0.084147717784524
Topotecan	Iso4	0.027284071888839
Vehicle	YFP	0.945574009071776
Vehicle	YFP	0.958581035472054
Vehicle	YFP	1.09584495545617
Topotecan	YFP	1.88632597541485
Topotecan	YFP	2.02316019002494
Topotecan	YFP	1.42490997769215
Vehicle	AS Iso1	0.736410441242221
Vehicle	AS Iso1	1.1473533737519
Vehicle	AS Iso1	1.11623618500588
Topotecan	AS Iso1	0.078116533296714
Topotecan	AS Iso1	0.069211137058088
Topotecan	AS Iso1	0.043277718267831
Vehicle	AS Iso3	0.767495426852992
Vehicle	AS Iso3	1.08893369054751
Vehicle	AS Iso3	1.1435708825995
Topotecan	AS Iso3	0.063960623740448
Topotecan	AS Iso3	0.032670429472641
Topotecan	AS Iso3	0.036984379179598

