GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.178	chr15	25657910	25667521	+	9612	-4.6726641	3.6397054	1.107527E-19	4.683877E-18
MSTRG.178	chr15	25500715	25506696	+	5982	-3.7326859	5.3547493	7.079088E-19	2.83878E-17
MSTRG.178	chr15	25500715	25506696	+	5982	-3.7326859	5.3547493	7.079088E-19	2.83878E-17
MSTRG.178	chr15	25663935	25667541	+	3607	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667541	+	3607	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667563	+	3629	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667567	+	3633	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667567	+	3633	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667567	+	3633	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667563	+	3629	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667563	+	3629	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667541	+	3607	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25663935	25667541	+	3607	-5.7153138	3.3025918	9.591003E-19	3.770963E-17
MSTRG.178	chr15	25500715	25505666	+	4952	-3.5108546	5.0837363	7.722973E-18	2.733914E-16
MSTRG.178	chr15	25500715	25505666	+	4952	-3.5108546	5.0837363	7.722973E-18	2.733914E-16
MSTRG.178	chr15	25500715	25505667	+	4953	-3.5108546	5.0837363	7.722973E-18	2.733914E-16
MSTRG.178	chr15	25501582	25506696	+	5115	-3.6388602	5.2320848	6.556195E-17	2.133307E-15
MSTRG.178	chr15	25501582	25506696	+	5115	-3.6388602	5.2320848	6.556195E-17	2.133307E-15
MSTRG.178	chr15	25501582	25506696	+	5115	-3.6388602	5.2320848	6.556195E-17	2.133307E-15
MSTRG.178	chr15	25501582	25505667	+	4086	-3.3823189	4.9336456	3.294062E-16	1.01394E-14
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25511578	25511761	+	184	-5.5374492	2.3141195	1.322479E-12	2.391232E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25514752	25514880	+	129	-8.1826943	2.316488	1.807992E-12	3.188909E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25516565	25516681	+	117	-8.072408	2.1662788	3.110071E-12	5.261159E-11
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25512059	25512191	+	133	-6.0184846	2.134232	2.365051E-09	2.460892E-08
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25492304	25492435	+	132	-7.3674197	1.6036879	4.851693E-08	4.173838E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25513476	25513600	+	125	-6.0915553	2.2194914	5.935013E-08	5.066826E-07
MSTRG.178	chr15	25522514	25522556	+	43	-7.1287459	1.3761276	5.862595E-07	4.289482E-06
MSTRG.178	chr15	25522514	25522556	+	43	-7.1287459	1.3761276	5.862595E-07	4.289482E-06
MSTRG.178	chr15	25522514	25522556	+	43	-7.1287459	1.3761276	5.862595E-07	4.289482E-06
MSTRG.178	chr15	25522514	25522556	+	43	-7.1287459	1.3761276	5.862595E-07	4.289482E-06
MSTRG.178	chr15	25522514	25522556	+	43	-7.1287459	1.3761276	5.862595E-07	4.289482E-06
MSTRG.178	chr15	25522514	25522556	+	43	-7.1287459	1.3761276	5.862595E-07	4.289482E-06
