GeneID Chr Start End Strand Length logFC logCPM PValue FDR
MSTRG.1.1 chr15 21008905 21009120 - 216 0.3933831 2.667989 0.3028953 0.4154465
MSTRG.10.1 chr15 20860812 20861507 - 696 0.541549 1.7763168 0.4659013 0.5856091
MSTRG.100.1 chr15 24938708 24939090 - 383 3.372004 2.165718 6.296966E-08 3.779065E-07
MSTRG.1000.1 chr15 52578382 52579171 - 790 -0.5407946 2.3692886 0.4666943 0.5862186
MSTRG.1001.1 chr15 52589233 52589551 - 319 -1.241816 1.2337669 0.3231206 0.4397944
MSTRG.1003.1 chr15 52781241 52861467 - 80227 -1.310469 10.8421855 4.099766E-06 1.831801E-05
MSTRG.1003.2 chr15 52805041 52861329 - 56289 -2.308045 10.4176139 1.553747E-13 1.571052E-12
MSTRG.1006.1 chr15 53836170 53837029 - 860 0.1344246 1.7493195 1 1
MSTRG.1007.1 chr15 53837861 53838135 - 275 1.682662 0.4813969 0.2518656 0.3585954
MSTRG.1009.1 chr15 53999684 54032778 - 33095 2.041202 2.5996581 1.549873E-05 6.43318E-05
MSTRG.1011.1 chr15 54220256 54220535 - 280 -0.7383041 1.2307447 0.52741 0.6452002
MSTRG.1015.1 chr15 54352434 54419718 - 67285 0.1557968 3.285507 0.727736 0.8109095
MSTRG.1018.1 chr15 54737806 54770206 - 32401 1.318199 4.2427959 1.013661E-05 4.338307E-05
MSTRG.1020.1 chr15 55044236 55430881 - 386646 0.3170135 6.2204434 0.193915 0.2911454
MSTRG.1023.1 chr15 55073622 55073902 - 281 0.591573 1.0538832 0.5586393 0.6712797
MSTRG.1026.1 chr15 55168134 55240929 - 72796 0.2179745 4.9161097 0.4705903 0.5900702
MSTRG.1028.1 chr15 55168836 55241944 - 73109 0.230013 4.9221888 0.4534071 0.5742618
MSTRG.103.1 chr15 25109271 25112821 - 3551 0.2566804 3.0283673 0.7358608 0.8172614
MSTRG.1030.1 chr15 55409692 55454726 - 45035 0.8764433 4.3137436 0.006858016 0.0162033
MSTRG.1032.1 chr15 57601649 57601869 - 221 0.420209 1.7549358 0.5959868 0.704258
MSTRG.1035.1 chr15 57618951 57721197 - 102247 0.8315811 4.3231428 0.01743783 0.03652784
MSTRG.1039.1 chr15 57905218 57913703 - 8486 0.6114321 4.7783162 0.4689948 0.5884154
MSTRG.104.1 chr15 25154093 25155003 - 911 1.099784 10.1807957 1.299946E-07 7.337128E-07
MSTRG.1040.4 chr15 56922377 56934976 - 12600 -0.3803127 6.899626 0.1909342 0.287999
MSTRG.1040.5 chr15 56922380 57025788 - 103409 -0.09623296 7.961048 0.6667091 0.7621645
MSTRG.1040.6 chr15 56922568 57026284 - 103717 -0.09698166 7.9494263 0.6657351 0.7619881
MSTRG.1040.7 chr15 56922593 56947682 - 25090 -0.3164896 7.1321459 0.2745605 0.3832351
MSTRG.1043.1 chr15 57058410 57058729 - 320 -1.577129 1.6783486 0.03268714 0.06413335
MSTRG.1044.1 chr15 57135690 57210829 - 75140 -0.4442194 6.041528 0.1333328 0.2133225
MSTRG.1044.2 chr15 57142076 57210829 - 68754 -0.4235076 6.0175795 0.1502788 0.2357498
MSTRG.1044.4 chr15 57194484 57210829 - 16346 -0.5359002 5.4915954 0.08103884 0.1401105
MSTRG.1044.5 chr15 57194484 57210800 - 16317 -0.5359002 5.4915954 0.08103884 0.1401105
MSTRG.1044.6 chr15 57194497 57210827 - 16331 -0.5359002 5.4915954 0.08103884 0.1401105
MSTRG.1047.1 chr15 57538956 57539241 - 286 0.8292867 5.6674515 0.03984527 0.07593558
MSTRG.1048.1 chr15 57539614 57539940 - 327 -0.06881367 5.907647 0.8290066 0.8965605
MSTRG.1049.1 chr15 58192451 58269771 - 77321 0.2633388 5.8139208 0.6320603 0.7336374
MSTRG.105.1 chr15 25156054 25156281 - 228 1.680637 8.9777008 7.681005E-14 7.966707E-13
MSTRG.1051.1 chr15 58245622 58430748 - 185127 3.42666 7.7502062 6.973902E-17 9.630304E-16
MSTRG.1051.6 chr15 58245641 58624314 - 378674 5.715085 10.4756606 2.515573E-51 2.333467E-49
MSTRG.1054.1 chr15 58490376 58490594 - 219 0.3228472 0.7748249 0.7851848 0.8595135
MSTRG.1055.1 chr15 58491215 58632908 - 141694 3.939134 6.3314239 1.166149E-26 3.741321E-25
MSTRG.1055.2 chr15 58491339 58640098 - 148760 3.563433 6.443556 3.374426E-26 1.050998E-24
MSTRG.1058.1 chr15 58638888 58660648 - 21761 0.5652285 3.6906184 0.07819761 0.1359695
