GeneID Chr Start End Strand Length logFC logCPM PValue FDR
MSTRG.1.1 chr15 21008905 21009120 - 216 0.8290482 2.667989 0.107806 0.1995698
MSTRG.10.1 chr15 20860812 20861507 - 696 0.535282 1.7763168 0.8231073 0.929645
MSTRG.100.1 chr15 24938708 24939090 - 383 1.755623 2.165718 0.005506913 0.01647826
MSTRG.1000.1 chr15 52578382 52579171 - 790 0.5726771 2.3692886 0.6067901 0.7544212
MSTRG.1001.1 chr15 52589233 52589551 - 319 -0.8499697 1.2337669 0.6392013 0.7790762
MSTRG.1003.1 chr15 52781241 52861467 - 80227 -0.1519829 10.8421855 0.5899651 0.739102
MSTRG.1003.2 chr15 52805041 52861329 - 56289 -0.6064338 10.4176139 0.04452562 0.09644204
MSTRG.1006.1 chr15 53836170 53837029 - 860 0.06274572 1.7493195 1 1
MSTRG.1007.1 chr15 53837861 53838135 - 275 3.028262 0.4813969 0.2680933 0.4138763
MSTRG.1009.1 chr15 53999684 54032778 - 33095 2.583238 2.5996581 5.958206E-05 0.0003012282
MSTRG.1011.1 chr15 54220256 54220535 - 280 -1.81347 1.2307447 0.0818699 0.1588626
MSTRG.1015.1 chr15 54352434 54419718 - 67285 -0.1896388 3.285507 0.7481012 0.8700933
MSTRG.1018.1 chr15 54737806 54770206 - 32401 2.027908 4.2427959 7.481968E-08 7.222977E-07
MSTRG.1020.1 chr15 55044236 55430881 - 386646 0.9203373 6.2204434 0.0006870855 0.002662846
MSTRG.1023.1 chr15 55073622 55073902 - 281 0.7676441 1.0538832 0.5353321 0.6903502
MSTRG.1026.1 chr15 55168134 55240929 - 72796 0.6199486 4.9161097 0.07673037 0.150611
MSTRG.1028.1 chr15 55168836 55241944 - 73109 0.6165697 4.9221888 0.08487356 0.1633538
MSTRG.103.1 chr15 25109271 25112821 - 3551 -1.04813 3.0283673 0.0350687 0.07976447
MSTRG.1030.1 chr15 55409692 55454726 - 45035 0.9648133 4.3137436 0.01141671 0.03073509
MSTRG.1032.1 chr15 57601649 57601869 - 221 -0.8853342 1.7549358 0.3015124 0.4514222
MSTRG.1035.1 chr15 57618951 57721197 - 102247 0.8087131 4.3231428 0.04331056 0.09464938
MSTRG.1039.1 chr15 57905218 57913703 - 8486 -5.244913 4.7783162 2.311693E-30 7.587686E-29
MSTRG.104.1 chr15 25154093 25155003 - 911 -0.5516348 10.1807957 0.007778283 0.02202384
MSTRG.1040.4 chr15 56922377 56934976 - 12600 -0.8634142 6.899626 0.003370005 0.01067544
MSTRG.1040.5 chr15 56922380 57025788 - 103409 -0.4715598 7.961048 0.03262052 0.07527948
MSTRG.1040.6 chr15 56922568 57026284 - 103717 -0.46162 7.9494263 0.03703612 0.08375569
MSTRG.1040.7 chr15 56922593 56947682 - 25090 -0.7263845 7.1321459 0.01310452 0.03445286
MSTRG.1043.1 chr15 57058410 57058729 - 320 -0.7453705 1.6783486 0.6980484 0.8327013
MSTRG.1044.1 chr15 57135690 57210829 - 75140 -0.06604191 6.041528 0.8189852 0.9259698
MSTRG.1044.2 chr15 57142076 57210829 - 68754 -0.05741423 6.0175795 0.837021 0.9410583
MSTRG.1044.4 chr15 57194484 57210829 - 16346 -0.0100655 5.4915954 0.9413305 1
MSTRG.1044.5 chr15 57194484 57210800 - 16317 -0.0100655 5.4915954 0.9413305 1
