GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-2.92789499	8.073314084	5.340214E-11	3.046206E-10
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-2.890141217	8.14734122	8.719038E-11	4.845714E-10
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-2.926726304	8.07200812	5.451353E-11	3.103954E-10
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-2.880503298	7.984255831	4.252352E-11	2.445688E-10
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-2.534485334	5.104910992	6.772366E-07	2.455521E-06
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-2.926555091	8.071949817	5.463833E-11	3.108237E-10
NM_001033962	chr7	66484122	66562097	+	77976	-2.658697887	7.536455443	5.244074E-10	2.677125E-09
NM_011668	chr7	66484122	66562097	+	77976	-2.658697887	7.536455443	5.244074E-10	2.677125E-09
NM_173010	chr7	66484120	66545188	+	61069	-2.768872681	7.021182315	4.383237E-10	2.267204E-09
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-3.357731823	8.501856914	2.89708E-13	2.047553E-12
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-2.949877412	8.26961953	3.498571E-11	2.021433E-10
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-3.383994312	8.510725248	2.160606E-13	1.549753E-12
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-3.360647612	8.484351396	2.848559E-13	2.015533E-12
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-3.469567328	8.580195051	2.004423E-14	1.657748E-13
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-3.435903486	8.525261135	1.16077E-13	8.70439E-13
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-3.395303969	8.504636018	2.048326E-13	1.4709E-12
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-2.877401569	8.194603222	8.743255E-11	4.854869E-10
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-2.977900589	8.272410715	2.64909E-11	1.539123E-10
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-2.957373955	7.964728284	5.639312E-11	3.199353E-10
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-2.890332012	7.984079227	1.320366E-10	7.203982E-10
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-3.35698048	8.501414567	2.918457E-13	2.060339E-12
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-3.303350874	8.470412715	5.677666E-13	3.873046E-12
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-3.413223292	8.532709996	1.491861E-13	1.097708E-12
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-3.303229552	8.468704642	5.651478E-13	3.863589E-12
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-3.424391034	8.574218496	3.259316E-14	2.583142E-13
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-3.318236229	8.476581249	4.908269E-13	3.381312E-12
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-2.735419648	3.3196087	3.841492E-07	1.430916E-06
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-3.43198599	8.572564313	2.767864E-14	2.247635E-13
