GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66599164	66599704	-	541	9.692134	1.929456359	1.462197E-53	1.340722E-52
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934364	-	136	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934364	-	136	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934375	-	147	9.296022	1.597984621	3.628605E-47	2.951791E-46
MSTRG.2448	chr7	66934229	66934274	-	46	9.162195	1.48318635	1.321179E-45	1.045107E-44
MSTRG.2448	chr7	66934229	66934274	-	46	9.162195	1.48318635	1.321179E-45	1.045107E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66931708	66931854	-	147	7.34134	1.827225024	3.17366E-45	2.484731E-44
MSTRG.2448	chr7	66934229	66934268	-	40	9.138093	1.462536859	2.337427E-44	1.805931E-43
MSTRG.2448	chr7	66934229	66934268	-	40	9.138093	1.462536859	2.337427E-44	1.805931E-43
MSTRG.2448	chr7	66934229	66934268	-	40	9.138093	1.462536859	2.337427E-44	1.805931E-43
MSTRG.2448	chr7	66934229	66934268	-	40	9.138093	1.462536859	2.337427E-44	1.805931E-43
MSTRG.2448	chr7	66934229	66934268	-	40	9.138093	1.462536859	2.337427E-44	1.805931E-43
MSTRG.2448	chr7	66934229	66934268	-	40	9.138093	1.462536859	2.337427E-44	1.805931E-43
MSTRG.2448	chr7	66585930	66587826	-	1897	8.73889	2.44483893	3.293455E-42	2.454583E-41
MSTRG.2448	chr7	66585930	66587856	-	1927	8.73875	2.445788343	1.395034E-41	1.030645E-40
MSTRG.2448	chr7	66934229	66934248	-	20	8.94234	1.296876423	2.829742E-41	2.072139E-40
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66931778	66931854	-	77	8.829255	1.189346242	1.535645E-38	1.038944E-37
MSTRG.2448	chr7	66934229	66934240	-	12	8.859075	1.226786162	5.508347E-38	3.689383E-37
MSTRG.2448	chr7	66515483	66516384	-	902	9.297327	1.664303748	7.329433E-38	4.900506E-37
MSTRG.2448	chr7	66499737	66530634	-	30898	3.927095	6.458097815	8.946482E-38	5.964947E-37
MSTRG.2448	chr7	66497279	66530634	-	33356	3.813324	6.529240792	3.927545E-37	2.579412E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66589252	66589436	-	185	6.944668	1.47595049	5.483115E-37	3.574567E-36
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66929180	66929326	-	147	7.443203	1.301491596	9.314782E-34	5.74738E-33
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66597736	66597858	-	123	8.850316	1.19555425	1.963131E-31	1.152203E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
MSTRG.2448	chr7	66573229	66573343	-	115	7.886486	0.436922074	1.462706E-30	8.334846E-30
