Comparison of groups:  3-1 
           GeneID   Chr     Start       End Strand Length       logFC
5292    MSTRG.405 chr15  35083315  35083496      -    182 -15.0563668
5299    MSTRG.405 chr15  35083315  35083496      -    182 -15.0563668
5298    MSTRG.405 chr15  35082441  35082756      -    316 -13.7048876
18303  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18312  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18349  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18359  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18369  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18377  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18385  MSTRG.1182 chr15  63353912  63353987      +     76  -9.5304264
18302  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18311  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18320  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18329  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18338  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18348  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18358  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18368  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18376  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18384  MSTRG.1182 chr15  63353068  63353138      +     71  -8.0157710
18299  MSTRG.1182 chr15  63336226  63336351      +    126  -9.6017559
18317  MSTRG.1182 chr15  63336226  63336351      +    126  -9.6017559
18335  MSTRG.1182 chr15  63336226  63336351      +    126  -9.6017559
18345  MSTRG.1182 chr15  63336226  63336351      +    126  -9.6017559
18365  MSTRG.1182 chr15  63336226  63336351      +    126  -9.6017559
18301  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18310  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18319  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18328  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18337  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18347  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18357  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18367  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18375  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18383  MSTRG.1182 chr15  63351762  63351879      +    118  -8.0403900
18343  MSTRG.1182 chr15  63358095  63358292      +    198 -10.4682499
18353  MSTRG.1182 chr15  63358095  63358292      +    198 -10.4682499
18363  MSTRG.1182 chr15  63358095  63358292      +    198 -10.4682499
5291    MSTRG.405 chr15  35080297  35082756      -   2460 -13.7131371
5287    MSTRG.404 chr15  35082008  35083051      +   1044 -13.7131137
18352  MSTRG.1182 chr15  63356263  63356341      +     79 -10.3505506
18362  MSTRG.1182 chr15  63356263  63356341      +     79 -10.3505506
18305  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18314  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18323  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18332  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18341  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18351  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18361  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18371  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18379  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18387  MSTRG.1182 chr15  63354775  63354844      +     70  -7.6785867
18304  MSTRG.1182 chr15  63354414  63354476      +     63  -7.7520889
18313  MSTRG.1182 chr15  63354414  63354476      +     63  -7.7520889
18322  MSTRG.1182 chr15  63354414  63354476      +     63  -7.7520889
18331  MSTRG.1182 chr15  63354414  63354476      +     63  -7.7520889
