GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.178.3	chr15	25418615	25667563	+	248949	-0.5766399	9.40356194	0.01135911	0.02632154
MSTRG.178.4	chr15	25421448	25667567	+	246120	-0.5753916	9.40260404	0.01158322	0.02660959
MSTRG.178.5	chr15	25421448	25667567	+	246120	-0.5753916	9.40260404	0.01158322	0.02660959
MSTRG.178.1	chr15	25414237	25667541	+	253305	-0.5704845	9.44399291	0.01163198	0.02664986
MSTRG.178.2	chr15	25414237	25667541	+	253305	-0.5704845	9.44399291	0.01163198	0.02664986
MSTRG.178.7	chr15	25426627	25667567	+	240941	-0.572867	9.4007158	0.011902	0.02718091
MSTRG.178.8	chr15	25428482	25667563	+	239082	-0.5733289	9.40010668	0.01192128	0.02721036
MSTRG.178.10	chr15	25439569	25667563	+	227995	-0.5692995	9.39725706	0.01252762	0.02845731
MSTRG.178.13	chr15	25440668	25667541	+	226874	-0.568821	9.39709654	0.01258098	0.02854812
MSTRG.178.14	chr15	25449081	25667541	+	218461	-0.5614149	9.39407065	0.01370463	0.03037089
