GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-0.03438888	8.352426	0.6670266	0.7716974
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-0.0644427	8.381312	0.4292864	0.5638836
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-0.03430594	8.352057	0.6680359	0.7720492
MSTRG.2451.4	chr7	66484077	66566955	+	82879	0.02205357	8.268264	0.7812725	0.8560766
MSTRG.2451.5	chr7	66484085	66509167	+	25083	0.5807392	5.797804	7.244296E-06	3.198103E-05
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-0.03430594	8.352057	0.6680359	0.7720492
NM_001033962	chr7	66484122	66562097	+	77976	0.2134633	7.314238	0.01218656	0.02982619
NM_011668	chr7	66484122	66562097	+	77976	0.2134633	7.314238	0.01218656	0.02982619
NM_173010	chr7	66484120	66545188	+	61069	0.3482306	6.82587	0.0007927608	0.002478651
MSTRG.2448.1	chr7	66443589	66689912	-	246324	0.06443043	10.2309	0.5668512	0.6898195
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-0.037699	9.756469	0.7215398	0.8110409
MSTRG.2448.11	chr7	66450620	66723798	-	273179	0.09659595	10.24975	0.3903406	0.5248789
MSTRG.2448.12	chr7	66452107	66679700	-	227594	0.05944433	10.16201	0.5994885	0.719671
MSTRG.2448.13	chr7	66452265	66804013	-	351749	0.1603973	10.36094	0.1584758	0.2645559
MSTRG.2448.14	chr7	66452265	66745714	-	293450	0.1286985	10.29954	0.2581304	0.3865189
MSTRG.2448.15	chr7	66452265	66718202	-	265938	0.09569906	10.23822	0.3950965	0.5301039
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-0.08261593	9.498025	0.416795	0.5503963
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-0.01383182	9.777138	0.8969278	0.9328561
MSTRG.2448.18	chr7	66497279	66579518	-	82240	0.3060766	8.785698	0.003127139	0.008835344
MSTRG.2448.19	chr7	66499737	66587826	-	88090	0.2478615	8.912455	0.02111109	0.04845519
MSTRG.2448.2	chr7	66443589	66686171	-	242583	0.06292986	10.22367	0.5767584	0.6985114
MSTRG.2448.3	chr7	66443696	66671225	-	227530	0.04172707	10.17394	0.7116912	0.8055232
MSTRG.2448.4	chr7	66443696	66740583	-	296888	0.107444	10.3051	0.3442013	0.477823
MSTRG.2448.5	chr7	66446015	66671225	-	225211	0.04135156	10.17096	0.7142147	0.8066127
MSTRG.2448.6	chr7	66446015	66768474	-	322460	0.1316026	10.3581	0.2456633	0.3719204
MSTRG.2448.7	chr7	66446015	66673092	-	227078	0.04126513	10.17201	0.7146379	0.8067374
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-0.8380314	6.418615	4.483506E-09	2.783757E-08
MSTRG.2448.9	chr7	66449372	66774046	-	324675	0.1442559	10.35027	0.2036437	0.3221131
