GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-1.392104	8.073314084	0.0009758781	0.00264839
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-1.455242	8.14734122	0.0005793281	0.001624243
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-1.389545	8.07200812	0.0009977353	0.002699526
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-1.356236	7.984255831	0.001041452	0.002802088
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-2.428262	5.104910992	1.596836E-06	6.210027E-06
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-1.389374	8.071949817	0.0009991311	0.002702137
NM_001033962	chr7	66484122	66562097	+	77976	-1.37981	7.536455443	0.0007453126	0.002051082
NM_011668	chr7	66484122	66562097	+	77976	-1.37981	7.536455443	0.0007453126	0.002051082
NM_173010	chr7	66484120	66545188	+	61069	-1.433561	7.021182315	0.0006934767	0.001918537
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-2.101929	8.501856914	1.491092E-06	5.831353E-06
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-1.664351	8.26961953	8.749547E-05	0.0002802806
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-2.12444	8.510725248	1.209479E-06	4.768694E-06
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-2.081638	8.484351396	1.865796E-06	7.238043E-06
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-2.192533	8.580195051	3.375949E-07	1.407169E-06
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-2.159087	8.525261135	8.703125E-07	3.47294E-06
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-2.118487	8.504636018	1.347789E-06	5.287415E-06
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-1.584404	8.194603222	0.000178867	0.0005472509
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-1.676812	8.272410715	8.062213E-05	0.000259057
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-1.320691	7.964728284	0.001914383	0.004858813
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-1.364042	7.984079227	0.001363007	0.00357369
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-2.101177	8.501414567	1.501042E-06	5.859298E-06
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-2.04009	8.470412715	2.768007E-06	1.057443E-05
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-2.159545	8.532709996	8.426678E-07	3.364767E-06
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-2.042703	8.468704642	2.686134E-06	1.028045E-05
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-2.172882	8.574218496	3.90947E-07	1.616653E-06
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-2.058779	8.476581249	2.335008E-06	8.997027E-06
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-4.375914	3.3196087	1.148766E-13	8.383718E-13
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-2.171978	8.572564313	3.854222E-07	1.595913E-06
