GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.405	chr15	35083315	35083496	-	182	13.4258602	11.8274495	5.526622E-110	8.35349E-106
MSTRG.405	chr15	35083315	35083496	-	182	13.4258602	11.8274495	5.526622E-110	8.35349E-106
MSTRG.405	chr15	35082441	35082756	-	316	13.0630611	11.5534122	1.837993E-100	1.852084E-96
MSTRG.405	chr15	35080297	35082756	-	2460	12.2502455	11.561761	1.541923E-78	1.165308E-74
MSTRG.404	chr15	35082008	35083051	+	1044	12.3268931	11.5635989	3.928786E-78	2.375344E-74
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57921898	57922052	+	155	9.4053087	7.8890457	2.694247E-76	5.090442E-73
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.1038	chr15	57924632	57924757	+	126	9.5551578	7.6473798	1.344767E-73	1.505641E-70
MSTRG.405	chr15	35084609	35084770	-	162	12.0154333	11.7523268	2.216213E-69	2.310211E-66
MSTRG.405	chr15	35084609	35084770	-	162	12.0154333	11.7523268	2.216213E-69	2.310211E-66
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57925811	57925939	+	129	9.2325463	7.6199135	2.24875E-68	1.699493E-65
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
MSTRG.1038	chr15	57929893	57929972	+	80	9.4416795	7.1880764	1.974357E-67	1.170291E-64
