"GeneID"	"Start"	"End"	"Length"	"logFC"	"PValue"	"FDR"	"Sample"
"AS Isoform"	25663935	25667541	3607	-5.2809385	2.15694e-17	6.958838e-16	"heart"
"AS Isoform"	25663935	25667541	3607	-5.0214915	6.288073e-11	8.093549e-10	"liver"
"AS Isoform"	25663935	25667541	3607	-5.7153138	9.591003e-19	3.770963e-17	"lung"
