GeneID Chr Start End Strand Length logFC logCPM PValue FDR
MSTRG.1.1 chr15 21008905 21009120 - 216 -0.5109356 2.667989 0.2026312 0.3509039
MSTRG.10.1 chr15 20860812 20861507 - 696 0.4038412 1.7763168 0.4876307 0.6510333
MSTRG.100.1 chr15 24938708 24939090 - 383 0.9143643 2.165718 0.2315126 0.3869426
MSTRG.1000.1 chr15 52578382 52579171 - 790 0.7074003 2.3692886 0.1120958 0.2215437
MSTRG.1001.1 chr15 52589233 52589551 - 319 0.7759258 1.2337669 0.3921824 0.5668003
MSTRG.1003.1 chr15 52781241 52861467 - 80227 -1.531819 10.8421855 8.212516E-08 7.455916E-07
MSTRG.1003.2 chr15 52805041 52861329 - 56289 -1.905326 10.4176139 5.675375E-10 7.451331E-09
MSTRG.1006.1 chr15 53836170 53837029 - 860 -0.4380491 1.7493195 0.2839021 0.4488367
MSTRG.1007.1 chr15 53837861 53838135 - 275 2.136252 0.4813969 0.04582678 0.1093029
MSTRG.1009.1 chr15 53999684 54032778 - 33095 0.2959087 2.5996581 0.5358668 0.6952094
MSTRG.1011.1 chr15 54220256 54220535 - 280 1.34528 1.2307447 0.04017585 0.09824089
MSTRG.1015.1 chr15 54352434 54419718 - 67285 -0.0462935 3.285507 0.8464632 0.9358436
MSTRG.1018.1 chr15 54737806 54770206 - 32401 -0.4836696 4.2427959 0.08436229 0.1761987
MSTRG.1020.1 chr15 55044236 55430881 - 386646 0.04759246 6.2204434 0.8631341 0.9433918
MSTRG.1023.1 chr15 55073622 55073902 - 281 -0.1557568 1.0538832 0.8748891 0.9449938
MSTRG.1026.1 chr15 55168134 55240929 - 72796 0.03853619 4.9161097 0.9448368 0.9864494
MSTRG.1028.1 chr15 55168836 55241944 - 73109 0.004152976 4.9221888 0.9595712 0.9962264
MSTRG.103.1 chr15 25109271 25112821 - 3551 0.5423861 3.0283673 0.2437882 0.4026628
MSTRG.1030.1 chr15 55409692 55454726 - 45035 0.3726348 4.3137436 0.2625244 0.4238333
MSTRG.1032.1 chr15 57601649 57601869 - 221 0.5477782 1.7549358 0.395455 0.5696237
MSTRG.1035.1 chr15 57618951 57721197 - 102247 0.3295855 4.3231428 0.3134036 0.4800048
MSTRG.1039.1 chr15 57905218 57913703 - 8486 3.369621 4.7783162 2.72533E-16 6.120517E-15
MSTRG.104.1 chr15 25154093 25155003 - 911 0.882791 10.1807957 1.980824E-05 0.0001139692
MSTRG.1040.4 chr15 56922377 56934976 - 12600 -0.06657569 6.899626 0.8023258 0.9040201
MSTRG.1040.5 chr15 56922380 57025788 - 103409 0.07264948 7.961048 0.7313245 0.8509849
MSTRG.1040.6 chr15 56922568 57026284 - 103717 0.07929825 7.9494263 0.7076987 0.8317871
MSTRG.1040.7 chr15 56922593 56947682 - 25090 0.08827795 7.1321459 0.7534189 0.8667669
MSTRG.1043.1 chr15 57058410 57058729 - 320 0.4115809 1.6783486 0.5678091 0.7206549
MSTRG.1044.1 chr15 57135690 57210829 - 75140 -0.5266594 6.041528 0.06408957 0.1436293
MSTRG.1044.2 chr15 57142076 57210829 - 68754 -0.5235645 6.0175795 0.06527893 0.1458352
MSTRG.1044.4 chr15 57194484 57210829 - 16346 -0.5332079 5.4915954 0.0689293 0.1517654
MSTRG.1044.5 chr15 57194484 57210800 - 16317 -0.5332079 5.4915954 0.0689293 0.1517654
MSTRG.1044.6 chr15 57194497 57210827 - 16331 -0.5332079 5.4915954 0.0689293 0.1517654
MSTRG.1047.1 chr15 57538956 57539241 - 286 -0.4548724 5.6674515 0.2523871 0.4107306
MSTRG.1048.1 chr15 57539614 57539940 - 327 -0.08700276 5.907647 0.7745753 0.8832477
MSTRG.1049.1 chr15 58192451 58269771 - 77321 1.206988 5.8139208 0.01186549 0.03523316
MSTRG.105.1 chr15 25156054 25156281 - 228 1.110375 8.9777008 5.285546E-07 4.049089E-06
MSTRG.1051.1 chr15 58245622 58430748 - 185127 1.160509 7.7502062 0.002404618 0.008784679
MSTRG.1051.6 chr15 58245641 58624314 - 378674 1.258138 10.4756606 7.304229E-05 0.0003710375
MSTRG.1054.1 chr15 58490376 58490594 - 219 -0.006583625 0.7748249 1 1
MSTRG.1055.1 chr15 58491215 58632908 - 141694 0.08729762 6.3314239 0.8358534 0.9302948
MSTRG.1055.2 chr15 58491339 58640098 - 148760 -0.02843053 6.443556 0.9175398 0.9698147
MSTRG.1058.1 chr15 58638888 58660648 - 21761 -0.04177294 3.6906184 0.839579 0.931614
MSTRG.1061.1 chr15 58804292 58850547 - 46256 -0.2404545 7.7686059 0.5146568 0.6769546
MSTRG.1062.1 chr15 59171225 59225859 - 54635 0.4297774 8.9818572 0.01388872 0.04041892
MSTRG.1063.1 chr15 58879309 58885972 - 6664 0.3514775 4.7613425 0.2482771 0.4074489
MSTRG.1067.1 chr15 59001776 59072593 - 70818 -0.5376099 5.8741666 0.08795454 0.1819205
MSTRG.1067.2 chr15 59059946 59072593 - 12648 -0.5936007 4.5938818 0.08538007 0.177889
MSTRG.1068.1 chr15 59011246 59109925 - 98680 -0.4232817 6.166165 0.1293696 0.2486933
MSTRG.107.1 chr15 25280823 25281068 - 246 -4.33335 3.9120358 5.930139E-09 6.455078E-08
MSTRG.1070.1 chr15 59140665 59163226 - 22562 0.272744 9.5685097 0.1798937 0.3199693
MSTRG.1071.1 chr15 59145115 59158361 - 13247 -0.1649295 8.0787606 0.4918438 0.6552287
MSTRG.1075.1 chr15 59845120 59845322 - 203 -0.1208071 4.6525639 0.8302822 0.9276811
MSTRG.1077.1 chr15 59826893 59827359 - 467 0.2613711 2.1928865 0.7836946 0.8879514
MSTRG.1077.2 chr15 59826893 59827359 - 467 0.2613711 2.1928865 0.7836946 0.8879514
MSTRG.1079.1 chr15 55492770 55507864 - 15095 3.646522 7.259371 1.930536E-34 2.288222E-32
MSTRG.1081.1 chr15 55495164 55611370 - 116207 2.25888 8.1571503 2.534842E-27 1.716852E-25
MSTRG.1083.1 chr15 55596137 55596671 - 535 0.1909335 2.0216124 0.8338359 0.9292185
MSTRG.1086.1 chr15 55646956 55708999 - 62044 0.139948 9.524294 0.545173 0.7022394
MSTRG.1086.2 chr15 55646956 55712188 - 65233 0.1431428 9.5386455 0.5333939 0.693332
MSTRG.1086.8 chr15 55647455 55700658 - 53204 0.134448 9.4935076 0.5647362 0.718893
MSTRG.1086.9 chr15 55647455 55700590 - 53136 0.134448 9.4935076 0.5647362 0.718893
