GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448.1	chr7	66443589	66689912	-	246324	0.9322507	9.746221021	8.420108E-06	2.057041E-05
MSTRG.2448.10	chr7	66449372	66616659	-	167288	0.9150657	9.723810985	1.612686E-05	3.847558E-05
MSTRG.2448.11	chr7	66450620	66723798	-	273179	0.9322008	9.742125381	9.453195E-06	2.299247E-05
MSTRG.2448.12	chr7	66452107	66679700	-	227594	0.9219309	9.734939607	1.233571E-05	2.960124E-05
MSTRG.2448.13	chr7	66452265	66804013	-	351749	0.95042	9.754532853	5.594799E-06	1.390407E-05
MSTRG.2448.14	chr7	66452265	66745714	-	293450	0.9344754	9.741104712	8.992191E-06	2.190338E-05
MSTRG.2448.15	chr7	66452265	66718202	-	265938	0.9324143	9.740167092	9.537871E-06	2.318991E-05
MSTRG.2448.16	chr7	66452265	66587856	-	135592	0.8476642	9.687754601	7.575968E-05	0.0001713064
MSTRG.2448.17	chr7	66452270	66627623	-	175354	0.9178824	9.722339585	1.540415E-05	3.676456E-05
MSTRG.2448.18	chr7	66497279	66579518	-	82240	0.6848075	9.572097906	0.001776148	0.003439598
MSTRG.2448.19	chr7	66499737	66587826	-	88090	0.7542006	9.59813566	0.0005728988	0.001175072
MSTRG.2448.2	chr7	66443589	66686171	-	242583	0.9322507	9.746221021	8.420108E-06	2.057041E-05
MSTRG.2448.3	chr7	66443696	66671225	-	227530	0.9220719	9.741604368	1.061402E-05	2.566508E-05
MSTRG.2448.4	chr7	66443696	66740583	-	296888	0.9350589	9.747964273	7.653478E-06	1.87598E-05
MSTRG.2448.5	chr7	66446015	66671225	-	225211	0.9232712	9.738853368	1.173876E-05	2.82404E-05
MSTRG.2448.6	chr7	66446015	66768474	-	322460	0.9485881	9.75697939	5.806302E-06	1.439728E-05
MSTRG.2448.7	chr7	66446015	66673092	-	227078	0.9233556	9.738891628	1.172518E-05	2.821798E-05
MSTRG.2448.8	chr7	66446103	66461982	-	15880	2.753674	2.977166563	1.470612E-18	6.78736E-18
MSTRG.2448.9	chr7	66449372	66774046	-	324675	0.9457328	9.755101534	6.258681E-06	1.546111E-05
MSTRG.2451.1	chr7	66483910	66579526	+	95617	0.7264458	9.614798741	0.000738085	0.00150041
MSTRG.2451.2	chr7	66483910	66599488	+	115579	0.8385646	9.669927395	8.698061E-05	0.0001961432
MSTRG.2451.3	chr7	66484077	66579526	+	95450	0.7256209	9.614282411	0.0007537269	0.001530798
MSTRG.2451.4	chr7	66484077	66566955	+	82879	0.6692283	9.581168354	0.00196681	0.003775704
MSTRG.2451.5	chr7	66484085	66509167	+	25083	2.771701	5.399926582	3.423971E-34	2.394611E-33
MSTRG.2451.6	chr7	66484088	66579526	+	95439	0.7255879	9.614268464	0.000754205	0.0015313
NM_173010	chr7	66484120	66545188	+	61069	1.548449	8.168315972	2.84299E-12	1.02611E-11
NM_001033962	chr7	66484122	66562097	+	77976	1.022052	8.88875192	4.80776E-06	1.206085E-05
NM_011668	chr7	66484122	66562097	+	77976	1.022052	8.88875192	4.80776E-06	1.206085E-05
