GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.178	chr15	25657910	25667521	+	9612	-4.9681442	3.5902816	1.426197E-18	5.096211E-17
MSTRG.178	chr15	25663935	25667541	+	3607	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667541	+	3607	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667563	+	3629	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667567	+	3633	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667567	+	3633	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667567	+	3633	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667563	+	3629	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667563	+	3629	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667541	+	3607	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25663935	25667541	+	3607	-5.2809385	3.2363959	2.15694E-17	6.958838E-16
MSTRG.178	chr15	25500715	25506696	+	5982	-3.0449801	5.3778593	4.934337E-15	1.320044E-13
MSTRG.178	chr15	25500715	25506696	+	5982	-3.0449801	5.3778593	4.934337E-15	1.320044E-13
MSTRG.178	chr15	25501582	25506696	+	5115	-3.0056934	5.270781	9.516208E-15	2.495013E-13
MSTRG.178	chr15	25501582	25506696	+	5115	-3.0056934	5.270781	9.516208E-15	2.495013E-13
MSTRG.178	chr15	25501582	25506696	+	5115	-3.0056934	5.270781	9.516208E-15	2.495013E-13
MSTRG.178	chr15	25500715	25505666	+	4952	-2.8376559	5.1172113	3.92073E-13	8.601136E-12
MSTRG.178	chr15	25500715	25505666	+	4952	-2.8376559	5.1172113	3.92073E-13	8.601136E-12
MSTRG.178	chr15	25500715	25505667	+	4953	-2.8376559	5.1172113	3.92073E-13	8.601136E-12
MSTRG.178	chr15	25501582	25505667	+	4086	-2.7716065	4.9870718	8.46468E-13	1.798224E-11
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
MSTRG.178	chr15	25514752	25514880	+	129	-3.8667896	2.0927149	1.63961E-07	1.672812E-06
