GeneID Chr Start End Strand Length logFC.group2 logFC.group3 logFC.group4 logCPM LR PValue FDR
MSTRG.1004.1 chr15 52797513 52798114 + 602 -1.04972 0.4015145 -0.7065029 8.8366801 58.38504 1.300758E-12 6.328776E-12
MSTRG.101.1 chr15 24970962 24971791 + 830 1.413249 1.397142 1.84852 2.3225937 6.497455 0.08976291 0.1165252
MSTRG.1010.1 chr15 54102526 54102883 + 358 -0.7138396 0.261829 -0.3632076 1.15783 2.163063 0.5392603 0.5765532
MSTRG.1013.1 chr15 54270263 54924038 + 653776 2.346159 0.9531128 0.03924463 7.4414391 57.80269 1.732E-12 8.275971E-12
MSTRG.1013.2 chr15 54270263 54920869 + 650607 2.335978 0.9531185 0.03923363 7.4356953 57.22475 2.301098E-12 1.083751E-11
MSTRG.1014.1 chr15 54352425 54419739 + 67315 -0.3466453 -0.1908689 -0.3929029 3.285507 1.141959 0.7669559 0.7910565
MSTRG.1016.1 chr15 54405782 54459684 + 53903 1.079604 0.04330255 0.08746992 3.0161318 11.69653 0.008498441 0.01344064
MSTRG.1017.1 chr15 54594059 54768303 + 174245 1.750097 1.676633 0.6568015 5.0754089 23.0213 3.997238E-05 8.953393E-05
MSTRG.1019.1 chr15 54995169 55390036 + 394868 0.6358137 0.8953452 0.7260927 6.174479 11.97137 0.007481867 0.01193017
MSTRG.1019.2 chr15 55218222 55362174 + 143953 0.474013 0.8085861 0.7117756 4.9835991 5.823672 0.1205113 0.1522721
MSTRG.1021.1 chr15 55045707 55439829 + 394123 0.5231126 0.9378001 0.5894517 6.3649775 13.21812 0.004187884 0.00698308
MSTRG.1022.1 chr15 55072988 55073513 + 526 -0.3339161 -0.3643352 0.176721 2.2710544 2.412583 0.4912966 0.5311281
MSTRG.1024.1 chr15 55166035 55166593 + 559 4.177051 3.672524 4.591536 0.6505774 5.462546 0.140896 0.1751248
MSTRG.1025.1 chr15 55167390 55240932 + 73543 0.4218377 0.5911452 0.3951242 4.976918 3.45579 0.3265414 0.3701786
MSTRG.1027.1 chr15 55168825 55242116 + 73292 0.3921537 0.6181648 0.3922825 4.923308 3.598443 0.308217 0.3509596
MSTRG.1029.1 chr15 55403598 55454736 + 51139 0.09154963 0.9686518 0.4865956 4.320511 9.361184 0.02485492 0.03633297
MSTRG.1031.1 chr15 55431876 55432170 + 295 -0.8821167 1.468587 -0.2617063 2.2807263 22.85 4.339712E-05 9.689981E-05
MSTRG.1033.2 chr15 57598651 57599962 + 1312 0.630763 0.161617 2.121056 1.3764566 7.614078 0.05469862 0.07504792
MSTRG.1036.3 chr15 57668704 57842913 + 174210 -0.6710506 1.635445 0.6552692 9.2211517 39.33043 1.47727E-08 5.042807E-08
MSTRG.1036.4 chr15 57668704 57842913 + 174210 -0.6710506 1.635445 0.6552692 9.2211517 39.33043 1.47727E-08 5.042807E-08
MSTRG.1038.11 chr15 57891697 57977530 + 85834 -8.450504 -7.859511 -4.151734 10.6345249 649.0709 2.316314E-140 3.29457E-138
MSTRG.1041.1 chr15 57000795 57001817 + 1023 1.485829 1.321932 1.423771 1.8389772 3.710636 0.2944531 0.3372971
