Comparison of groups:  4-1 
           GeneID   Chr     Start       End Strand Length       logFC
5292    MSTRG.405 chr15  35083315  35083496      -    182 -15.2942718
5299    MSTRG.405 chr15  35083315  35083496      -    182 -15.2942718
5298    MSTRG.405 chr15  35082441  35082756      -    316 -14.9984951
18302  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18311  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18320  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18329  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18338  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18348  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18358  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18368  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18376  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
18384  MSTRG.1182 chr15  63353068  63353138      +     71  -7.9243208
5291    MSTRG.405 chr15  35080297  35082756      -   2460 -15.0077475
5287    MSTRG.404 chr15  35082008  35083051      +   1044 -15.0077692
18299  MSTRG.1182 chr15  63336226  63336351      +    126  -8.9241469
18317  MSTRG.1182 chr15  63336226  63336351      +    126  -8.9241469
18335  MSTRG.1182 chr15  63336226  63336351      +    126  -8.9241469
18345  MSTRG.1182 chr15  63336226  63336351      +    126  -8.9241469
18365  MSTRG.1182 chr15  63336226  63336351      +    126  -8.9241469
18352  MSTRG.1182 chr15  63356263  63356341      +     79 -10.1626359
18362  MSTRG.1182 chr15  63356263  63356341      +     79 -10.1626359
18303  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18312  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18349  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18359  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18369  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18377  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18385  MSTRG.1182 chr15  63353912  63353987      +     76  -8.2266549
18301  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18310  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18319  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18328  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18337  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18347  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18357  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18367  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18375  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18383  MSTRG.1182 chr15  63351762  63351879      +    118  -7.8644462
18343  MSTRG.1182 chr15  63358095  63358292      +    198  -9.6934575
18353  MSTRG.1182 chr15  63358095  63358292      +    198  -9.6934575
18363  MSTRG.1182 chr15  63358095  63358292      +    198  -9.6934575
18305  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18314  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18323  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18332  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18341  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18351  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18361  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18371  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18379  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18387  MSTRG.1182 chr15  63354775  63354844      +     70  -7.5041016
18304  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18313  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18322  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18331  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18340  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18350  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18360  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18370  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18378  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18386  MSTRG.1182 chr15  63354414  63354476      +     63  -7.5627686
18342  MSTRG.1182 chr15  63356263  63356389      +    127  -9.8184455
5296    MSTRG.405 chr15  35086881  35087031      -    151 -13.4821132
5303    MSTRG.405 chr15  35086881  35087031      -    151 -13.4821132
5294    MSTRG.405 chr15  35084609  35084770      -    162 -12.0526174
5301    MSTRG.405 chr15  35084609  35084770      -    162 -12.0526174
5293    MSTRG.405 chr15  35084291  35084482      -    192 -15.1307722
5300    MSTRG.405 chr15  35084291  35084482      -    192 -15.1307722
5295    MSTRG.405 chr15  35085446  35085770      -    325  -9.6866989
5302    MSTRG.405 chr15  35085446  35085770      -    325  -9.6866989
18300  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18309  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18318  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18327  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18336  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18346  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18356  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18366  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18374  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
18382  MSTRG.1182 chr15  63349184  63349317      +    134  -7.6698496
7006    MSTRG.502 chr15  37100525  37102461      +   1937  -5.9632697
6983    MSTRG.502 chr15  37101105  37102461      +   1357  -6.1406786
7904    MSTRG.616 chr15  44162959  44166660      -   3702  -8.1990079
7918    MSTRG.616 chr15  44162959  44166660      -   3702  -8.1990079
7933    MSTRG.616 chr15  44162959  44166660      -   3702  -8.1990079
23369  MSTRG.1396 chr15  71341748  71343040      +   1293  -5.6318594
23387  MSTRG.1396 chr15  71341748  71343040      +   1293  -5.6318594
23353  MSTRG.1396 chr15  71341748  71342436      +    689  -5.7009775
23404  MSTRG.1396 chr15  71341748  71342436      +    689  -5.7009775
23420  MSTRG.1396 chr15  71341748  71342436      +    689  -5.7009775
23437  MSTRG.1396 chr15  71341748  71342436      +    689  -5.7009775
23352  MSTRG.1396 chr15  71329518  71329671      +    154  -5.5659484
23368  MSTRG.1396 chr15  71329518  71329671      +    154  -5.5659484
23386  MSTRG.1396 chr15  71329518  71329671      +    154  -5.5659484
23403  MSTRG.1396 chr15  71329518  71329671      +    154  -5.5659484
