GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-2.519682	2.977166563	3.724695E-18	1.479823E-17
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-1.05028	9.754532853	1.104489E-07	2.703264E-07
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-1.049662	9.75697939	1.118131E-07	2.735641E-07
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-1.046437	9.755101534	1.240412E-07	3.031458E-07
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-1.040919	9.747964273	1.377381E-07	3.357524E-07
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-1.038065	9.746221021	1.558759E-07	3.78711E-07
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-1.038065	9.746221021	1.558759E-07	3.78711E-07
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-1.03926	9.741104712	1.763746E-07	4.263244E-07
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-1.036819	9.742125381	1.884626E-07	4.545477E-07
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-1.037199	9.740167092	1.900428E-07	4.58192E-07
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-1.046055	9.722339585	1.913215E-07	4.611072E-07
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-1.044052	9.723810985	1.979936E-07	4.77014E-07
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-1.027886	9.741604368	2.078709E-07	5.004467E-07
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-1.029307	9.738891628	2.382525E-07	5.702734E-07
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-1.029222	9.738853368	2.385738E-07	5.707867E-07
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-1.02667	9.734939607	2.62589E-07	6.258103E-07
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-0.9767999	9.687754601	1.446381E-06	3.249451E-06
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-0.8729036	9.59813566	2.54692E-05	5.110043E-05
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-0.7999125	9.572097906	0.0001157962	0.0002208866
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-0.8547251	9.614798741	2.75305E-05	5.508595E-05
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-0.9654071	9.669927395	1.809698E-06	4.011255E-06
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-0.8537581	9.614282411	2.841282E-05	5.678277E-05
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-0.8075407	9.581168354	8.084825E-05	0.0001562013
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-3.216487	5.399926582	2.660446E-49	1.962153E-48
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-0.8537251	9.614268464	2.84365E-05	5.681296E-05
NM_173010	chr7	66484120	66545188	+	61069	-1.551723	8.168315972	9.050112E-14	3.084863E-13
NM_001033962	chr7	66484122	66562097	+	77976	-1.11383	8.88875192	1.323047E-07	3.227454E-07
NM_011668	chr7	66484122	66562097	+	77976	-1.11383	8.88875192	1.323047E-07	3.227454E-07
