GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.178.1	chr15	25414237	25667541	+	253305	-1.197479	9.44399291	1.386263E-07	1.425012E-06
MSTRG.178.2	chr15	25414237	25667541	+	253305	-1.197479	9.44399291	1.386263E-07	1.425012E-06
MSTRG.178.3	chr15	25418615	25667563	+	248949	-1.200903	9.40356194	1.578045E-07	1.602843E-06
MSTRG.178.4	chr15	25421448	25667567	+	246120	-1.200602	9.40260404	1.613604E-07	1.631193E-06
MSTRG.178.5	chr15	25421448	25667567	+	246120	-1.200602	9.40260404	1.613604E-07	1.631193E-06
MSTRG.178.7	chr15	25426627	25667567	+	240941	-1.196753	9.4007158	1.735647E-07	1.734021E-06
MSTRG.178.8	chr15	25428482	25667563	+	239082	-1.1963	9.40010668	1.804824E-07	1.793324E-06
MSTRG.178.10	chr15	25439569	25667563	+	227995	-1.190592	9.39725706	2.053826E-07	1.951363E-06
MSTRG.178.13	chr15	25440668	25667541	+	226874	-1.190114	9.39709654	2.062796E-07	1.955531E-06
MSTRG.178.14	chr15	25449081	25667541	+	218461	-1.182372	9.39407065	2.41004E-07	2.24481E-06
