GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.178	chr15	25500715	25506696	+	5982	-2.8868012	5.3547493	1.447258E-11	2.107108E-10
MSTRG.178	chr15	25500715	25506696	+	5982	-2.8868012	5.3547493	1.447258E-11	2.107108E-10
MSTRG.178	chr15	25663935	25667541	+	3607	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667541	+	3607	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667563	+	3629	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667567	+	3633	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667567	+	3633	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667567	+	3633	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667563	+	3629	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667563	+	3629	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667541	+	3607	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25663935	25667541	+	3607	-5.0214915	3.3025918	6.288073E-11	8.093549E-10
MSTRG.178	chr15	25657910	25667521	+	9612	-3.6488285	3.6397054	1.450532E-10	1.774727E-09
MSTRG.178	chr15	25501582	25506696	+	5115	-2.7937824	5.2320848	2.971275E-10	3.398508E-09
MSTRG.178	chr15	25501582	25506696	+	5115	-2.7937824	5.2320848	2.971275E-10	3.398508E-09
MSTRG.178	chr15	25501582	25506696	+	5115	-2.7937824	5.2320848	2.971275E-10	3.398508E-09
MSTRG.178	chr15	25500715	25505666	+	4952	-2.5863739	5.0837363	5.341233E-10	5.875551E-09
MSTRG.178	chr15	25500715	25505666	+	4952	-2.5863739	5.0837363	5.341233E-10	5.875551E-09
MSTRG.178	chr15	25500715	25505667	+	4953	-2.5863739	5.0837363	5.341233E-10	5.875551E-09
MSTRG.178	chr15	25501582	25505667	+	4086	-2.458547	4.9336456	7.017582E-09	6.378775E-08
MSTRG.178	chr15	25514752	25514880	+	129	-7.4962198	2.316488	4.543489E-07	3.042022E-06
MSTRG.178	chr15	25514752	25514880	+	129	-7.4962198	2.316488	4.543489E-07	3.042022E-06
