"ids","type","path"
"heart356","heart","/home/kj/rna-seq/alignments/hg19/unstranded/ERR315356.chr15.sorted.bam"
"heart384","heart","/home/kj/rna-seq/alignments/hg19/unstranded/ERR315384.chr15.sorted.bam"
"heart413","heart","/home/kj/rna-seq/alignments/hg19/unstranded/ERR315413.chr15.sorted.bam"
"cortex432","cortex","/home/kj/rna-seq/alignments/hg19/unstranded/cortex432.chr15.sorted.bam"
"cortex455","cortex","/home/kj/rna-seq/alignments/hg19/unstranded/cortex455.chr15.sorted.bam"
"cortex477","cortex","/home/kj/rna-seq/alignments/hg19/unstranded/cortex477.chr15.sorted.bam"
"liver327","liver","/home/kj/rna-seq/alignments/hg19/unstranded/liver327.chr15.sorted.bam"
"liver451","liver","/home/kj/rna-seq/alignments/hg19/unstranded/liver451.chr15.sorted.bam"
"liver463","liver","/home/kj/rna-seq/alignments/hg19/unstranded/liver463.chr15.sorted.bam"
"lung341","lung","/home/kj/rna-seq/alignments/hg19/unstranded/lung341.chr15.sorted.bam"
"lung346","lung","/home/kj/rna-seq/alignments/hg19/unstranded/lung346.chr15.sorted.bam"
"lung424","lung","/home/kj/rna-seq/alignments/hg19/unstranded/lung424.chr15.sorted.bam"
