Comparison of groups:  2-1 
           GeneID   Chr     Start       End Strand Length       logFC
5292    MSTRG.405 chr15  35083315  35083496      -    182 -13.7745396
5299    MSTRG.405 chr15  35083315  35083496      -    182 -13.7745396
5298    MSTRG.405 chr15  35082441  35082756      -    316 -13.6446520
18302  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18311  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18320  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18329  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18338  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18348  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18358  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18368  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18376  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18384  MSTRG.1182 chr15  63353068  63353138      +     71  -8.8271681
18299  MSTRG.1182 chr15  63336226  63336351      +    126 -10.1651244
18317  MSTRG.1182 chr15  63336226  63336351      +    126 -10.1651244
18335  MSTRG.1182 chr15  63336226  63336351      +    126 -10.1651244
18345  MSTRG.1182 chr15  63336226  63336351      +    126 -10.1651244
18365  MSTRG.1182 chr15  63336226  63336351      +    126 -10.1651244
18301  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18310  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18319  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18328  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18337  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18347  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18357  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18367  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18375  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18383  MSTRG.1182 chr15  63351762  63351879      +    118  -8.7697622
18303  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18312  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18349  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18359  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18369  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18377  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18385  MSTRG.1182 chr15  63353912  63353987      +     76  -8.6565315
18352  MSTRG.1182 chr15  63356263  63356341      +     79 -10.6629667
18362  MSTRG.1182 chr15  63356263  63356341      +     79 -10.6629667
18343  MSTRG.1182 chr15  63358095  63358292      +    198 -10.2247026
18353  MSTRG.1182 chr15  63358095  63358292      +    198 -10.2247026
18363  MSTRG.1182 chr15  63358095  63358292      +    198 -10.2247026
5291    MSTRG.405 chr15  35080297  35082756      -   2460 -12.8352924
5287    MSTRG.404 chr15  35082008  35083051      +   1044 -12.9083705
18305  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18314  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18323  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18332  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18341  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18351  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18361  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18371  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18379  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18387  MSTRG.1182 chr15  63354775  63354844      +     70  -8.3590944
18304  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18313  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18322  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18331  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18340  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18350  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18360  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18370  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18378  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
18386  MSTRG.1182 chr15  63354414  63354476      +     63  -8.4245802
15893  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15905  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15917  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15930  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15943  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15956  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15970  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15984  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
15999  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
16015  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
16032  MSTRG.1038 chr15  57921898  57922052      +    155  -9.6245525
18342  MSTRG.1182 chr15  63356263  63356389      +    127 -10.2637856
15894  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15906  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15918  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15931  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15944  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15957  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15971  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15985  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
16000  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
16016  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
16033  MSTRG.1038 chr15  57924632  57924757      +    126  -9.7129165
15896  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15908  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15920  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15933  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15946  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15959  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15973  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
15987  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
16002  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
16018  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
16035  MSTRG.1038 chr15  57929893  57929972      +     80 -10.0171664
5296    MSTRG.405 chr15  35086881  35087031      -    151 -10.1735313
5303    MSTRG.405 chr15  35086881  35087031      -    151 -10.1735313
15895  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15907  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15919  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15932  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15945  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15958  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15972  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
15986  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
16001  MSTRG.1038 chr15  57925811  57925939      +    129  -9.6281264
