GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-1.850775	9.746221021	5.552419E-20	2.615481E-19
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-1.857716	9.742125381	6.591301E-20	3.076405E-19
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-1.851789	9.734939607	1.030324E-19	4.745364E-19
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-1.876889	9.754532853	1.715717E-20	8.204473E-20
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-1.862907	9.741104712	5.256831E-20	2.479772E-19
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-1.860845	9.740167092	6.096426E-20	2.853472E-19
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-1.789971	9.687754601	5.249739E-18	2.279936E-17
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-1.853909	9.722339585	1.671483E-19	7.587548E-19
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-1.657347	9.572097906	4.892389E-15	1.921844E-14
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-1.719997	9.59813566	4.369848E-16	1.787616E-15
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-1.850775	9.746221021	5.552419E-20	2.615481E-19
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-1.840596	9.741604368	9.017804E-20	4.170734E-19
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-1.852174	9.747964273	4.546362E-20	2.149219E-19
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-1.849543	9.738853368	1.037829E-19	4.773292E-19
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-1.871543	9.75697939	2.135697E-20	1.020543E-19
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-1.849627	9.738891628	1.036846E-19	4.772085E-19
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-2.538579	2.977166563	3.599873E-19	1.614215E-18
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-1.870227	9.755101534	2.375393E-20	1.13263E-19
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-1.687551	9.614798741	4.834642E-16	1.970451E-15
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-1.782084	9.669927395	6.116257E-18	2.651045E-17
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-1.686494	9.614282411	5.233604E-16	2.126513E-15
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-1.650614	9.581168354	2.764541E-15	1.090503E-14
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-2.76563	5.399926582	1.868514E-39	1.498205E-38
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-1.686461	9.614268464	5.242571E-16	2.12885E-15
NM_173010	chr7	66484120	66545188	+	61069	-1.551723	8.168315972	9.050112E-14	3.084863E-13
NM_001033962	chr7	66484122	66562097	+	77976	-1.705208	8.88875192	1.828109E-15	7.250038E-15
NM_011668	chr7	66484122	66562097	+	77976	-1.705208	8.88875192	1.828109E-15	7.250038E-15
