GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.836	chr15	42433332	42434402	-	1071	11.4101345	4.6945939	9.762818E-57	1.47399E-52
MSTRG.836	chr15	42433332	42434402	-	1071	11.4101345	4.6945939	9.762818E-57	1.47399E-52
MSTRG.864	chr15	52011605	52013223	+	1619	-9.8460271	7.6812843	3.897832E-55	2.942473E-51
MSTRG.864	chr15	52011605	52013223	+	1619	-9.8460271	7.6812843	3.897832E-55	2.942473E-51
MSTRG.864	chr15	51975416	51975631	+	216	-10.3949158	6.2085647	3.12285E-54	1.571626E-50
MSTRG.864	chr15	51975416	51975631	+	216	-10.3949158	6.2085647	3.12285E-54	1.571626E-50
MSTRG.864	chr15	51980457	51980599	+	143	-9.9374997	5.778335	1.607378E-51	5.710577E-48
MSTRG.864	chr15	51980457	51980599	+	143	-9.9374997	5.778335	1.607378E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.1616	chr15	77905366	77908242	-	2877	-8.1850426	7.5773154	3.78234E-51	5.710577E-48
MSTRG.783	chr15	41148968	41149853	+	886	6.0563119	5.6566789	7.575132E-50	9.94516E-47
MSTRG.783	chr15	41148968	41149853	+	886	6.0563119	5.6566789	7.575132E-50	9.94516E-47
MSTRG.783	chr15	41148968	41149853	+	886	6.0563119	5.6566789	7.575132E-50	9.94516E-47
MSTRG.1524	chr15	75311130	75313836	+	2707	-6.3888817	8.8387989	2.130552E-49	2.218418E-46
MSTRG.1524	chr15	75311130	75313836	+	2707	-6.3888817	8.8387989	2.130552E-49	2.218418E-46
MSTRG.1524	chr15	75311130	75313836	+	2707	-6.3888817	8.8387989	2.130552E-49	2.218418E-46
MSTRG.1524	chr15	75311130	75313836	+	2707	-6.3888817	8.8387989	2.130552E-49	2.218418E-46
MSTRG.1524	chr15	75311130	75313836	+	2707	-6.3888817	8.8387989	2.130552E-49	2.218418E-46
MSTRG.1524	chr15	75311130	75313823	+	2694	-6.3888817	8.8387989	2.130552E-49	2.218418E-46
MSTRG.864	chr15	51984356	51984533	+	178	-10.4544434	6.2698352	5.991945E-49	5.836541E-46
MSTRG.864	chr15	51984356	51984533	+	178	-10.4544434	6.2698352	5.991945E-49	5.836541E-46
MSTRG.450	chr15	32971967	32972116	+	150	-9.6661819	5.6145463	1.15342E-48	1.055414E-45
MSTRG.450	chr15	32971967	32972116	+	150	-9.6661819	5.6145463	1.15342E-48	1.055414E-45
MSTRG.864	chr15	51981416	51981565	+	150	-10.8642432	5.9147083	1.836338E-48	1.506134E-45
MSTRG.864	chr15	51981416	51981565	+	150	-10.8642432	5.9147083	1.836338E-48	1.506134E-45
MSTRG.864	chr15	51993304	51993441	+	138	-9.5733774	6.2489082	1.845508E-48	1.506134E-45
MSTRG.864	chr15	51993304	51993441	+	138	-9.5733774	6.2489082	1.845508E-48	1.506134E-45
MSTRG.864	chr15	51988072	51988188	+	117	-10.1244097	5.9521546	7.727991E-48	5.983447E-45
MSTRG.864	chr15	51988072	51988188	+	117	-10.1244097	5.9521546	7.727991E-48	5.983447E-45
MSTRG.864	chr15	51991516	51991599	+	84	-10.7441683	5.7975415	1.57552E-46	1.123276E-43
MSTRG.864	chr15	51991516	51991599	+	84	-10.7441683	5.7975415	1.57552E-46	1.123276E-43
MSTRG.616	chr15	44162959	44166660	-	3702	-7.3141524	6.9611899	1.636778E-46	1.123276E-43
MSTRG.616	chr15	44162959	44166660	-	3702	-7.3141524	6.9611899	1.636778E-46	1.123276E-43
MSTRG.616	chr15	44162959	44166660	-	3702	-7.3141524	6.9611899	1.636778E-46	1.123276E-43
MSTRG.864	chr15	51973550	51974034	+	485	-12.2718737	5.4823392	6.227066E-46	4.087663E-43
MSTRG.864	chr15	51973550	51974034	+	485	-12.2718737	5.4823392	6.227066E-46	4.087663E-43
MSTRG.450	chr15	32935787	32936019	+	233	-9.5642881	5.9003756	5.954446E-45	3.745843E-42
MSTRG.450	chr15	32935787	32936019	+	233	-9.5642881	5.9003756	5.954446E-45	3.745843E-42
MSTRG.616	chr15	44162959	44166137	-	3179	-7.1413843	6.35948	7.127938E-45	4.392555E-42
MSTRG.450	chr15	32976761	32976870	+	110	-8.9176327	5.7090221	2.479489E-41	1.497413E-38
MSTRG.450	chr15	32976758	32976870	+	113	-8.923242	5.713957	3.046461E-41	1.803744E-38
MSTRG.450	chr15	32988715	32989298	+	584	-9.223281	6.8438498	2.186336E-40	1.245634E-37
MSTRG.450	chr15	32988715	32989298	+	584	-9.223281	6.8438498	2.186336E-40	1.245634E-37
MSTRG.394	chr15	32605868	32607514	-	1647	-11.3431086	5.3300765	3.750576E-40	2.097266E-37
MSTRG.611	chr15	45661524	45661719	-	196	-4.2773245	9.3770258	4.240606E-40	2.286596E-37
MSTRG.611	chr15	45661524	45661719	-	196	-4.2773245	9.3770258	4.240606E-40	2.286596E-37
MSTRG.326	chr15	30515411	30518224	+	2814	-8.5665093	4.334406	7.662097E-40	4.059029E-37
MSTRG.783	chr15	41145909	41146127	+	219	6.6367712	4.1315008	1.906095E-39	9.923523E-37
MSTRG.611	chr15	45660268	45660458	-	191	-4.1946909	9.3982755	1.98719E-39	1.000087E-36
MSTRG.611	chr15	45660268	45660458	-	191	-4.1946909	9.3982755	1.98719E-39	1.000087E-36
MSTRG.864	chr15	52005530	52005610	+	81	-8.9513474	5.3227749	8.532924E-39	4.155809E-36
MSTRG.864	chr15	52005530	52005610	+	81	-8.9513474	5.3227749	8.532924E-39	4.155809E-36
MSTRG.645	chr15	45409564	45411563	-	2000	7.1822023	5.1729638	1.271891E-38	6.000939E-36
MSTRG.645	chr15	45409564	45411563	-	2000	7.1822023	5.1729638	1.271891E-38	6.000939E-36
MSTRG.450	chr15	32983911	32983964	+	54	-8.3020594	5.1316132	2.433233E-38	1.113241E-35
MSTRG.450	chr15	32983911	32983964	+	54	-8.3020594	5.1316132	2.433233E-38	1.113241E-35
MSTRG.783	chr15	41145909	41146079	+	171	6.7827916	4.051795	3.522814E-37	1.564337E-34
MSTRG.783	chr15	41145909	41146079	+	171	6.7827916	4.051795	3.522814E-37	1.564337E-34
MSTRG.611	chr15	45658244	45658408	-	165	-4.1032402	9.7867546	6.225348E-37	2.685437E-34
MSTRG.611	chr15	45658244	45658408	-	165	-4.1032402	9.7867546	6.225348E-37	2.685437E-34
