GeneID Chr Start End Strand Length logFC logCPM PValue FDR
MSTRG.1.1 chr15 21008905 21009120 - 216 0.4454031 2.667989 0.3857076 0.5314221
MSTRG.10.1 chr15 20860812 20861507 - 696 0.008588833 1.7763168 1 1
MSTRG.100.1 chr15 24938708 24939090 - 383 -1.594494 2.165718 0.06142803 0.1299521
MSTRG.1000.1 chr15 52578382 52579171 - 790 1.130213 2.3692886 0.1193524 0.2157038
MSTRG.1001.1 chr15 52589233 52589551 - 319 0.3164955 1.2337669 0.8149192 0.9024812
MSTRG.1003.1 chr15 52781241 52861467 - 80227 1.158477 10.8421855 4.376252E-05 0.0002266198
MSTRG.1003.2 chr15 52805041 52861329 - 56289 1.701551 10.4176139 2.689768E-08 2.411568E-07
MSTRG.1006.1 chr15 53836170 53837029 - 860 -0.0702315 1.7493195 1 1
MSTRG.1007.1 chr15 53837861 53838135 - 275 2.506229 0.4813969 1 1
MSTRG.1009.1 chr15 53999684 54032778 - 33095 0.5792282 2.5996581 0.5659641 0.7063377
MSTRG.1011.1 chr15 54220256 54220535 - 280 -1.190125 1.2307447 0.1467327 0.2525239
MSTRG.1015.1 chr15 54352434 54419718 - 67285 -0.3465928 3.285507 0.387109 0.5323216
MSTRG.1018.1 chr15 54737806 54770206 - 32401 0.7176741 4.2427959 0.06153077 0.130105
MSTRG.1020.1 chr15 55044236 55430881 - 386646 0.6042979 6.2204434 0.02187374 0.05519529
MSTRG.1023.1 chr15 55073622 55073902 - 281 0.2122814 1.0538832 0.8098391 0.8980207
MSTRG.1026.1 chr15 55168134 55240929 - 72796 0.4036077 4.9161097 0.2183281 0.3461932
MSTRG.1028.1 chr15 55168836 55241944 - 73109 0.3881673 4.9221888 0.2459232 0.3769232
MSTRG.103.1 chr15 25109271 25112821 - 3551 -1.31242 3.0283673 0.006628626 0.01968994
MSTRG.1030.1 chr15 55409692 55454726 - 45035 0.09179389 4.3137436 0.8817043 0.9508481
MSTRG.1032.1 chr15 57601649 57601869 - 221 -1.322983 1.7549358 0.05250902 0.1141396
MSTRG.1035.1 chr15 57618951 57721197 - 102247 -0.02000458 4.3231428 1 1
MSTRG.1039.1 chr15 57905218 57913703 - 8486 -5.893056 4.7783162 2.584049E-47 2.625271E-45
MSTRG.104.1 chr15 25154093 25155003 - 911 -1.651441 10.1807957 4.701628E-15 8.837817E-14
MSTRG.1040.4 chr15 56922377 56934976 - 12600 -0.4836249 6.899626 0.0840886 0.1662679
MSTRG.1040.5 chr15 56922380 57025788 - 103409 -0.3754577 7.961048 0.07770081 0.1558765
MSTRG.1040.6 chr15 56922568 57026284 - 103717 -0.3647681 7.9494263 0.08736014 0.1706022
