GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	0.2273672	8.352426	0.004394197	0.02687661
MSTRG.2451.2	chr7	66483910	66599488	+	115579	0.2433557	8.381312	0.002833913	0.01865328
MSTRG.2451.3	chr7	66484077	66579526	+	95450	0.2276261	8.352057	0.004381122	0.02682161
MSTRG.2451.4	chr7	66484077	66566955	+	82879	0.2133925	8.268264	0.007310477	0.04136307
MSTRG.2451.5	chr7	66484085	66509167	+	25083	0.2943672	5.797804	0.02414829	0.1026732
MSTRG.2451.6	chr7	66484088	66579526	+	95439	0.2276261	8.352057	0.004381122	0.02682161
NM_001033962	chr7	66484122	66562097	+	77976	0.2479953	7.314238	0.003741512	0.02349713
NM_011668	chr7	66484122	66562097	+	77976	0.2479953	7.314238	0.003741512	0.02349713
NM_173010	chr7	66484120	66545188	+	61069	0.2523702	6.82587	0.01557209	0.07434088
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-0.1265095	10.2309	0.2608147	0.5074916
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-0.04096849	9.756469	0.6982008	0.8608462
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-0.1331096	10.24975	0.236535	0.4806058
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-0.1119411	10.16201	0.3227128	0.5707864
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-0.1609938	10.36094	0.1569179	0.3741075
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-0.146917	10.29954	0.1967366	0.4279347
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-0.131136	10.23822	0.2438956	0.4896547
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-0.0208909	9.498025	0.8372129	0.9340441
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-0.04550931	9.777138	0.6690308	0.8423446
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-0.03333188	8.785698	0.7474749	0.8912451
MSTRG.2448.19	chr7	66499737	66587826	-	88090	0.01093528	8.912455	0.9195683	0.9740735
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-0.118886	10.22367	0.2917025	0.5402293
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-0.1084026	10.17394	0.3369755	0.5856046
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-0.1430923	10.3051	0.2077757	0.4435744
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-0.1078568	10.17096	0.3394897	0.5871796
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-0.1532423	10.3581	0.1764274	0.4008053
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-0.1084565	10.17201	0.3365496	0.5856046
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-0.06569233	6.418615	0.6422682	0.8294738
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-0.1572057	10.35027	0.1659386	0.3880565
