GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.222.1	chr15	25582387	25684231	-	101845	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.11	chr15	25582400	25684231	-	101832	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.12	chr15	25582400	25665832	-	83433	-0.208109	9.0731352	0.3192966	0.4578086
MSTRG.222.13	chr15	25582402	25684222	-	101821	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.14	chr15	25582402	25684222	-	101821	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.2	chr15	25582387	25684231	-	101845	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.3	chr15	25582387	25684231	-	101845	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.4	chr15	25582387	25684231	-	101845	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.5	chr15	25582387	25684231	-	101845	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.6	chr15	25582387	25684231	-	101845	-0.1759287	9.1096937	0.4157026	0.5597751
MSTRG.222.7	chr15	25582387	25591256	-	8870	-0.6236431	7.8404408	0.00881567	0.0251279
MSTRG.178.1	chr15	25414237	25667541	+	253305	0.03337768	9.4173848	0.8707408	0.9451567
MSTRG.178.10	chr15	25439569	25667563	+	227995	0.07599053	9.3688107	0.7116277	0.8239936
MSTRG.178.11	chr15	25439857	25505666	+	65810	1.429382	6.0196843	0.0001387079	0.0006380937
MSTRG.178.12	chr15	25440213	25505667	+	65455	1.429382	6.0196843	0.0001387079	0.0006380937
MSTRG.178.13	chr15	25440668	25667541	+	226874	0.07551133	9.3686529	0.7132877	0.8247694
MSTRG.178.14	chr15	25449081	25667541	+	218461	0.07115197	9.3647713	0.728738	0.8347718
MSTRG.178.18	chr15	25455065	25505666	+	50602	1.39009	5.9154667	0.0001211931	0.0005726808
MSTRG.178.2	chr15	25414237	25667541	+	253305	0.03337768	9.4173848	0.8707408	0.9451567
MSTRG.178.22	chr15	25461583	25505667	+	44085	1.436428	5.8740803	6.029569E-05	0.0002988173
MSTRG.178.26	chr15	25655172	25667521	+	12350	2.676525	3.6888586	6.711809E-08	5.582707E-07
MSTRG.178.3	chr15	25418615	25667563	+	248949	0.08569597	9.3747815	0.6767964	0.7986422
MSTRG.178.4	chr15	25421448	25667567	+	246120	0.08544096	9.3733617	0.6779438	0.7995539
MSTRG.178.5	chr15	25421448	25667567	+	246120	0.08544096	9.3733617	0.6779438	0.7995539
MSTRG.178.7	chr15	25426627	25667567	+	240941	0.08158706	9.3717943	0.6912988	0.8097096
MSTRG.178.8	chr15	25428482	25667563	+	239082	0.0809199	9.3712973	0.693929	0.8110093
