GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-0.9185161	9.746221021	7.691894E-06	2.215894E-05
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-0.9339551	9.723810985	7.301081E-06	2.12363E-05
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-0.9255071	9.742125381	7.377689E-06	2.141211E-05
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-0.9298496	9.734939607	7.022385E-06	2.046162E-05
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-0.9264602	9.754532853	6.358059E-06	1.860779E-05
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-0.9284228	9.741104712	6.901606E-06	2.013627E-05
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-0.9284217	9.740167092	7.005037E-06	2.042005E-05
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-0.9422987	9.687754601	7.651642E-06	2.207179E-05
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-0.9360186	9.722339585	7.069484E-06	2.058979E-05
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-0.9725305	9.572097906	6.878394E-06	2.007739E-05
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-0.9657875	9.59813566	7.612693E-06	2.198817E-05
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-0.9185161	9.746221021	7.691894E-06	2.215894E-05
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-0.9185152	9.741604368	7.781749E-06	2.239831E-05
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-0.9171069	9.747964273	7.674114E-06	2.212697E-05
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-0.9262633	9.738853368	7.44542E-06	2.157087E-05
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-0.9229461	9.75697939	6.863633E-06	2.004314E-05
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-0.9262633	9.738891628	7.450351E-06	2.157572E-05
MSTRG.2448.8	chr7	66446103	66461982	-	15880	0.2161041	2.977166563	0.5137288	0.5808169
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-0.9244855	9.755101534	6.707308E-06	1.960393E-05
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-0.9610971	9.614798741	5.938527E-06	1.745711E-05
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-0.9435106	9.669927395	7.123033E-06	2.073664E-05
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-0.9608648	9.614282411	6.044899E-06	1.775671E-05
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-0.9813773	9.581168354	4.285349E-06	1.277887E-05
MSTRG.2451.5	chr7	66484085	66509167	+	25083	0.006275945	5.399926582	0.9845503	0.9937026
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-0.9608647	9.614268464	6.045807E-06	1.775671E-05
NM_173010	chr7	66484120	66545188	+	61069	-0.4993267	8.168315972	0.01967198	0.03233744
NM_001033962	chr7	66484122	66562097	+	77976	-0.6831439	8.88875192	0.001778077	0.00359469
NM_011668	chr7	66484122	66562097	+	77976	-0.6831439	8.88875192	0.001778077	0.00359469
