GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.222.1	chr15	25582387	25684231	-	101845	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.11	chr15	25582400	25684231	-	101832	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.12	chr15	25582400	25665832	-	83433	-1.095622	9.0731352	2.291413E-07	2.139488E-06
MSTRG.222.13	chr15	25582402	25684222	-	101821	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.14	chr15	25582402	25684222	-	101821	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.2	chr15	25582387	25684231	-	101845	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.3	chr15	25582387	25684231	-	101845	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.4	chr15	25582387	25684231	-	101845	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.5	chr15	25582387	25684231	-	101845	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.6	chr15	25582387	25684231	-	101845	-1.051406	9.1096937	1.543238E-06	1.242452E-05
MSTRG.222.7	chr15	25582387	25591256	-	8870	-1.23349	7.8404408	3.954594E-07	3.545011E-06
MSTRG.178.1	chr15	25414237	25667541	+	253305	-1.164364	9.4173848	2.758089E-08	3.080829E-07
MSTRG.178.10	chr15	25439569	25667563	+	227995	-1.114906	9.3688107	1.036169E-07	1.037872E-06
MSTRG.178.11	chr15	25439857	25505666	+	65810	-1.941088	6.0196843	9.981132E-07	8.467095E-06
MSTRG.178.12	chr15	25440213	25505667	+	65455	-1.941088	6.0196843	9.981132E-07	8.467095E-06
MSTRG.178.13	chr15	25440668	25667541	+	226874	-1.114908	9.3686529	1.027795E-07	1.031907E-06
MSTRG.178.14	chr15	25449081	25667541	+	218461	-1.111527	9.3647713	1.076954E-07	1.07118E-06
MSTRG.178.18	chr15	25455065	25505666	+	50602	-1.87553	5.9154667	1.067664E-06	9.039129E-06
MSTRG.178.2	chr15	25414237	25667541	+	253305	-1.164364	9.4173848	2.758089E-08	3.080829E-07
MSTRG.178.22	chr15	25461583	25505667	+	44085	-1.788828	5.8740803	2.682713E-06	2.052904E-05
MSTRG.178.26	chr15	25655172	25667521	+	12350	-0.7102749	3.6888586	0.4423087	0.6097253
MSTRG.178.3	chr15	25418615	25667563	+	248949	-1.115515	9.3747815	1.015099E-07	1.023978E-06
MSTRG.178.4	chr15	25421448	25667567	+	246120	-1.115464	9.3733617	1.041495E-07	1.038332E-06
MSTRG.178.5	chr15	25421448	25667567	+	246120	-1.115464	9.3733617	1.041495E-07	1.038332E-06
MSTRG.178.7	chr15	25426627	25667567	+	240941	-1.115471	9.3717943	1.001938E-07	1.015504E-06
MSTRG.178.8	chr15	25428482	25667563	+	239082	-1.115686	9.3712973	1.020293E-07	1.02679E-06
