GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.1059	chr15	58837941	58838174	+	234	8.5611679	6.4582573	9.115972E-71	2.752659E-66
MSTRG.1059	chr15	58830532	58830716	+	185	9.4755381	6.4669209	4.086654E-67	6.17003E-63
MSTRG.1059	chr15	58855704	58855922	+	219	8.1976108	6.466171	1.157329E-66	1.164891E-62
MSTRG.1537	chr15	75047132	75048941	+	1810	12.1923975	9.4210185	3.441673E-64	2.598119E-60
MSTRG.1059	chr15	58840529	58840771	+	243	8.1966469	6.3615378	4.564604E-64	2.756656E-60
MSTRG.1059	chr15	58724175	58724319	+	145	8.6183092	6.0229431	1.915145E-62	9.638285E-59
MSTRG.1059	chr15	58853063	58853180	+	118	7.8517765	5.8669273	5.217963E-62	2.25088E-58
MSTRG.1717	chr15	80885941	80890277	+	4337	-7.9575529	8.9576295	1.096331E-61	2.758734E-58
MSTRG.1717	chr15	80885941	80890278	+	4338	-7.9575529	8.9576295	1.096331E-61	2.758734E-58
MSTRG.1717	chr15	80885941	80890278	+	4338	-7.9575529	8.9576295	1.096331E-61	2.758734E-58
MSTRG.1717	chr15	80885941	80890275	+	4335	-7.9575529	8.9576295	1.096331E-61	2.758734E-58
MSTRG.1717	chr15	80885941	80890278	+	4338	-7.9575529	8.9576295	1.096331E-61	2.758734E-58
MSTRG.1059	chr15	58834733	58834850	+	118	9.7315263	5.5315261	8.055097E-59	1.871013E-55
MSTRG.640	chr15	45365563	45367287	+	1725	5.9010136	10.0856976	1.259007E-57	2.534465E-54
MSTRG.640	chr15	45365563	45367287	+	1725	5.9010136	10.0856976	1.259007E-57	2.534465E-54
MSTRG.1051	chr15	58430646	58430748	-	103	8.8185563	7.0861308	1.682016E-57	3.174385E-54
MSTRG.1059	chr15	58833984	58834166	+	183	8.8041972	5.4367498	2.001636E-56	3.555377E-53
MSTRG.2124	chr15	90333691	90333772	-	82	8.4642868	6.8293476	1.791162E-55	3.004774E-52
MSTRG.940	chr15	50489697	50489906	+	210	7.675228	5.8310482	6.607644E-55	9.976221E-52
MSTRG.940	chr15	50489697	50489906	+	210	7.675228	5.8310482	6.607644E-55	9.976221E-52
MSTRG.1059	chr15	58860915	58861073	+	159	10.317794	5.4228851	5.916096E-54	8.506783E-51
MSTRG.2124	chr15	90342491	90342546	-	56	8.5787389	6.387897	1.890554E-52	2.594871E-49
MSTRG.640	chr15	45364515	45364636	+	122	5.7694274	6.6820913	3.588719E-50	4.515207E-47
MSTRG.640	chr15	45364515	45364636	+	122	5.7694274	6.6820913	3.588719E-50	4.515207E-47
MSTRG.640	chr15	45361075	45361250	+	176	5.905014	7.4806466	5.721714E-50	6.645111E-47
MSTRG.640	chr15	45361075	45361250	+	176	5.905014	7.4806466	5.721714E-50	6.645111E-47
MSTRG.2124	chr15	90340806	90340953	-	148	8.7674881	6.8556069	7.324824E-50	8.142838E-47
MSTRG.1051	chr15	58430646	58430771	-	126	8.7977708	7.1742161	7.550652E-50	8.142838E-47
MSTRG.1696	chr15	80135889	80137784	-	1896	5.6336132	7.1441415	1.581885E-49	1.492706E-46
MSTRG.1696	chr15	80135889	80137784	-	1896	5.6336132	7.1441415	1.581885E-49	1.492706E-46
MSTRG.1696	chr15	80135889	80137784	-	1896	5.6336132	7.1441415	1.581885E-49	1.492706E-46
MSTRG.1696	chr15	80135889	80137784	-	1896	5.6336132	7.1441415	1.581885E-49	1.492706E-46
MSTRG.1696	chr15	80137377	80137784	-	408	5.730206	7.1057394	8.336361E-49	7.628023E-46
MSTRG.2124	chr15	90334184	90334324	-	141	8.7135257	7.2169943	1.948889E-48	1.730843E-45
MSTRG.1696	chr15	80137322	80137784	-	463	5.7173881	7.1067624	3.836714E-48	3.310097E-45
MSTRG.1709	chr15	80450402	80450512	+	111	5.6846858	6.4830568	5.808647E-48	4.497382E-45
MSTRG.1709	chr15	80450402	80450512	+	111	5.6846858	6.4830568	5.808647E-48	4.497382E-45
MSTRG.1709	chr15	80450402	80450512	+	111	5.6846858	6.4830568	5.808647E-48	4.497382E-45
MSTRG.1709	chr15	80450402	80450512	+	111	5.6846858	6.4830568	5.808647E-48	4.497382E-45
MSTRG.1810	chr15	85488356	85489027	+	672	8.2044737	5.130857	1.89562E-47	1.362861E-44
MSTRG.1810	chr15	85488356	85489027	+	672	8.2044737	5.130857	1.89562E-47	1.362861E-44
MSTRG.1810	chr15	85488356	85489027	+	672	8.2044737	5.130857	1.89562E-47	1.362861E-44
MSTRG.864	chr15	52011605	52013223	+	1619	-10.9349667	7.6812843	4.791113E-47	3.288011E-44
MSTRG.864	chr15	52011605	52013223	+	1619	-10.9349667	7.6812843	4.791113E-47	3.288011E-44
MSTRG.902	chr15	52100617	52108558	+	7942	-6.1636163	9.4484799	5.971643E-47	3.919994E-44
MSTRG.902	chr15	52100617	52108558	+	7942	-6.1636163	9.4484799	5.971643E-47	3.919994E-44
MSTRG.1524	chr15	75311130	75313836	+	2707	-6.2995879	8.8387989	1.719505E-46	9.985033E-44
