GeneID Chr Strand NExons P.Value FDR
MSTRG.1002 chr15 - 81 0.9141895 1
MSTRG.1003 chr15 - 23 0.001846888 0.03951571
MSTRG.1005 chr15 - 32 0.5518414 1
MSTRG.1018 chr15 - 2 0.03821515 0.3737805
MSTRG.1020 chr15 - 2 0.9080614 1
MSTRG.1026 chr15 - 2 0.2358232 1
MSTRG.1028 chr15 - 2 0.9229124 1
MSTRG.103 chr15 - 2 0.05373097 0.4765928
MSTRG.1040 chr15 - 127 0.3202167 1
MSTRG.1044 chr15 - 22 0.5610818 1
MSTRG.1051 chr15 - 76 0.057305 0.4889851
MSTRG.1055 chr15 - 2 0.9816211 1
MSTRG.1061 chr15 - 2 0.2461786 1
MSTRG.1062 chr15 - 62 0.1605655 0.8544082
MSTRG.1064 chr15 - 16 0.6562028 1
MSTRG.1067 chr15 - 4 0.6241925 1
MSTRG.1070 chr15 - 2 0.8693845 1
MSTRG.1077 chr15 - 3 0.9339407 1
MSTRG.1078 chr15 - 6 0.8783292 1
MSTRG.1079 chr15 - 2 0.6364442 1
MSTRG.1081 chr15 - 41 4.483221E-18 1.534756E-15
MSTRG.1086 chr15 - 103 0.007247353 0.11109
MSTRG.1088 chr15 - 2 0.9444607 1
MSTRG.1094 chr15 - 2 0.9967694 1
MSTRG.1096 chr15 - 16 0.3008181 1
MSTRG.1098 chr15 - 2 0.08911334 0.6477742
MSTRG.1102 chr15 - 2 0.964894 1
MSTRG.1103 chr15 - 17 0.5736257 1
MSTRG.1105 chr15 - 146 0.5195896 1
MSTRG.1111 chr15 - 9 0.9993936 1
MSTRG.1117 chr15 - 4 0.8012955 1
MSTRG.1118 chr15 - 10 0.9063706 1
MSTRG.1124 chr15 - 56 0.9603489 1
MSTRG.1131 chr15 - 3 0.9767252 1
MSTRG.1136 chr15 - 8 0.9006519 1
MSTRG.1137 chr15 - 21 0.1491843 0.8281742
MSTRG.1145 chr15 - 54 0.9763932 1
MSTRG.1147 chr15 - 2 0.2846974 1
MSTRG.1148 chr15 - 2 0.8790788 1
MSTRG.1154 chr15 - 41 0.9976804 1
MSTRG.1156 chr15 - 58 0.6115085 1
MSTRG.1157 chr15 - 2 0.8878944 1
MSTRG.1159 chr15 - 2 0.866905 1
MSTRG.1168 chr15 - 660 0.3645664 1
MSTRG.1169 chr15 - 5 0.188871 0.910723
MSTRG.1175 chr15 - 2 0.7815586 1
MSTRG.1184 chr15 - 2 0.3134875 1
MSTRG.1188 chr15 - 4 0.1692553 0.8683135
MSTRG.1192 chr15 - 2 1.878543E-05 0.0006223431
MSTRG.1194 chr15 - 26 0.483085 1
MSTRG.1195 chr15 - 2 0.3726207 1
MSTRG.1199 chr15 - 2 0.9671119 1
MSTRG.1201 chr15 - 10 0.8099955 1
MSTRG.1206 chr15 - 2 0.1566322 0.8442943
MSTRG.1211 chr15 - 855 0.8694764 1
MSTRG.1214 chr15 - 28 0.965336 1
MSTRG.1217 chr15 - 2 0.07238314 0.5750048
MSTRG.1218 chr15 - 17 0.9862547 1
MSTRG.1219 chr15 - 36 0.2155982 0.9626927
MSTRG.1220 chr15 - 2 0.8795873 1
MSTRG.1223 chr15 - 2 0.9951226 1
MSTRG.1224 chr15 - 11 0.6742136 1
MSTRG.1226 chr15 - 6 0.9133269 1
MSTRG.1227 chr15 - 2 0.4054701 1
MSTRG.1230 chr15 - 2 0.871793 1
MSTRG.1231 chr15 - 2 0.9115764 1
MSTRG.1235 chr15 - 5 0.8999839 1
MSTRG.1240 chr15 - 10 0.8831542 1
MSTRG.1243 chr15 - 11 0.9854854 1
MSTRG.1244 chr15 - 14 0.9672405 1
MSTRG.1246 chr15 - 30 0.9111424 1
MSTRG.1250 chr15 - 34 0.7951356 1
MSTRG.1251 chr15 - 9 0.8637914 1
MSTRG.1252 chr15 - 18 0.4037805 1
MSTRG.1254 chr15 - 29 0.9837779 1
MSTRG.1256 chr15 - 2 0.1476406 0.8240591
MSTRG.1259 chr15 - 35 0.1899068 0.9113749
MSTRG.1260 chr15 - 9 0.9704575 1
MSTRG.1262 chr15 - 3 0.9765381 1
MSTRG.1263 chr15 - 12 0.8673013 1
MSTRG.1266 chr15 - 7 1 1
MSTRG.1267 chr15 - 20 0.6392848 1
MSTRG.1270 chr15 - 120 0.9043178 1
MSTRG.1272 chr15 - 281 0.4239364 1
MSTRG.1279 chr15 - 2 0.8964198 1
MSTRG.1280 chr15 - 2 0.0161875 0.2117404
MSTRG.1283 chr15 - 10 0.1219857 0.7650269
MSTRG.1290 chr15 - 3 0.984512 1
MSTRG.1297 chr15 - 39 1 1
MSTRG.13 chr15 - 2 0.9334504 1
MSTRG.1304 chr15 - 23 0.06391307 0.5293445
MSTRG.1305 chr15 - 3 0.4202059 1
MSTRG.1308 chr15 - 7 0.3680998 1
MSTRG.1313 chr15 - 39 0.6936925 1
MSTRG.1316 chr15 - 2 0.8962572 1
MSTRG.1319 chr15 - 20 0.4294137 1
MSTRG.1320 chr15 - 2 0.7984007 1
MSTRG.1321 chr15 - 2 0.791737 1
MSTRG.1331 chr15 - 3 0.9647258 1
MSTRG.1332 chr15 - 2 0.9863997 1
MSTRG.1334 chr15 - 18 0.02675347 0.2832558
MSTRG.1335 chr15 - 72 0.8889288 1
MSTRG.1337 chr15 - 3 0.9710343 1
MSTRG.1361 chr15 - 196 0.8204588 1
MSTRG.1366 chr15 - 27 0.85249 1
MSTRG.1369 chr15 - 2 0.670179 1
MSTRG.1371 chr15 - 7 0.2712694 1
MSTRG.1378 chr15 - 39 0.3043805 1
MSTRG.138 chr15 - 4 0.4222737 1
MSTRG.1387 chr15 - 57 0.2127659 0.9602304
MSTRG.1394 chr15 - 2 0.3593017 1
MSTRG.1395 chr15 - 8 0.02670187 0.2832558
MSTRG.1399 chr15 - 3 0.74692 1
MSTRG.1407 chr15 - 4 0.1519314 0.8344041
MSTRG.1410 chr15 - 11 0.4121499 1
MSTRG.1423 chr15 - 34 0.9665089 1
MSTRG.1429 chr15 - 24 0.06314766 0.5272573
MSTRG.1431 chr15 - 45 0.6807417 1
MSTRG.1435 chr15 - 6 0.8593349 1
MSTRG.1436 chr15 - 5 0.9348623 1
MSTRG.1438 chr15 - 55 0.4033192 1
MSTRG.144 chr15 - 40 0.5322292 1
MSTRG.1442 chr15 - 8 1 1
MSTRG.1444 chr15 - 3 0.2746869 1
MSTRG.1446 chr15 - 2 0.9009368 1
MSTRG.1447 chr15 - 2 0.9975655 1
MSTRG.1450 chr15 - 2 0.625759 1
MSTRG.1451 chr15 - 3 0.1455129 0.8240591
MSTRG.1453 chr15 - 2 0.5764634 1
MSTRG.1458 chr15 - 2 0.9082373 1
MSTRG.146 chr15 - 3 0.2673925 1
MSTRG.1461 chr15 - 2 0.02770145 0.2873675
MSTRG.1462 chr15 - 153 0.9715735 1
MSTRG.1463 chr15 - 2 0.9817021 1
MSTRG.1470 chr15 - 12 0.750003 1
MSTRG.1471 chr15 - 88 7.543374E-09 6.148207E-07
MSTRG.1473 chr15 - 221 0.02866466 0.2914714
MSTRG.1474 chr15 - 305 0.08774091 0.6436422
MSTRG.1486 chr15 - 2 0.1058696 0.7297185
MSTRG.1488 chr15 - 57 0.9316626 1
MSTRG.1491 chr15 - 16 0.05475945 0.4765928
MSTRG.1495 chr15 - 2 0.9671937 1
MSTRG.1502 chr15 - 7 0.9970117 1
MSTRG.1504 chr15 - 17 0.6821242 1
MSTRG.1509 chr15 - 88 0.9877491 1
MSTRG.1512 chr15 - 2 0.5649409 1
MSTRG.1514 chr15 - 5 0.3916477 1
MSTRG.1523 chr15 - 11 0.02337057 0.2637535
MSTRG.1530 chr15 - 24 0.3821624 1
MSTRG.1531 chr15 - 4 0.0004725398 0.01155472
MSTRG.1533 chr15 - 6 0.265132 1
MSTRG.1536 chr15 - 2 0.3862778 1
MSTRG.1541 chr15 - 3 0.7440072 1
MSTRG.1544 chr15 - 3 1 1
MSTRG.1545 chr15 - 139 0.9869207 1
MSTRG.1547 chr15 - 9 0.7185992 1
MSTRG.1548 chr15 - 2 0.7218556 1
MSTRG.1551 chr15 - 18 0.5491305 1
MSTRG.1553 chr15 - 10 0.7056593 1
MSTRG.1555 chr15 - 3 0.07213252 0.5750048
MSTRG.1561 chr15 - 204 5.23054E-08 3.581176E-06
MSTRG.1562 chr15 - 102 0.6385129 1
MSTRG.1563 chr15 - 95 5.495957E-05 0.001660102
MSTRG.1566 chr15 - 20 0.5175412 1
MSTRG.1568 chr15 - 2 0.6816483 1
MSTRG.1570 chr15 - 4 0.5153023 1
MSTRG.1577 chr15 - 2 0.05672659 0.4889851
MSTRG.1579 chr15 - 12 0.7068694 1
MSTRG.1588 chr15 - 19 0.8402774 1
MSTRG.1590 chr15 - 36 0.8311478 1
MSTRG.1596 chr15 - 155 0.9554877 1
MSTRG.16 chr15 - 2 0.8180089 1
MSTRG.160 chr15 - 3 0.6719289 1
MSTRG.1600 chr15 - 2 0.8884467 1
MSTRG.1604 chr15 - 65 0.1850881 0.910723
MSTRG.1607 chr15 - 2 0.815365 1
MSTRG.1616 chr15 - 43 1 1
MSTRG.1623 chr15 - 26 0.9903779 1
MSTRG.1626 chr15 - 31 0.6896945 1
MSTRG.1628 chr15 - 43 3.023426E-09 2.822781E-07
MSTRG.1630 chr15 - 42 0.7823843 1
MSTRG.1636 chr15 - 18 0.02538893 0.28252
MSTRG.1637 chr15 - 2 0.4684376 1
MSTRG.1641 chr15 - 2 0.9448603 1
MSTRG.1643 chr15 - 12 0.8724594 1
MSTRG.1644 chr15 - 186 4.991811E-12 5.696212E-10
MSTRG.1653 chr15 - 2 0.4186816 1
MSTRG.1658 chr15 - 4 0.8995847 1
MSTRG.166 chr15 - 17 0.9014366 1
MSTRG.1664 chr15 - 6 1 1
MSTRG.167 chr15 - 2 0.9774576 1
MSTRG.1671 chr15 - 2 0.9909798 1
MSTRG.1684 chr15 - 3 0.4814873 1
MSTRG.1696 chr15 - 35 0.2244434 0.9935491
MSTRG.1701 chr15 - 4 0.6919009 1
MSTRG.1702 chr15 - 2 0.3977491 1
MSTRG.1703 chr15 - 2 0.2911377 1
MSTRG.1711 chr15 - 3 0.2603875 1
MSTRG.1716 chr15 - 2 0.7867473 1
MSTRG.172 chr15 - 3 0.9936297 1
MSTRG.1721 chr15 - 11 0.9473384 1
MSTRG.1725 chr15 - 14 0.01795442 0.2195141
MSTRG.1727 chr15 - 2 0.6915438 1
MSTRG.173 chr15 - 92 0.9736695 1
MSTRG.1731 chr15 - 4 0.8326008 1
MSTRG.1739 chr15 - 2 0.792777 1
MSTRG.1741 chr15 - 2 0.5129179 1
MSTRG.1743 chr15 - 57 0.8451002 1
MSTRG.1748 chr15 - 3 0.7177827 1
MSTRG.1754 chr15 - 9 0.9593055 1
MSTRG.1756 chr15 - 14 0.8296441 1
MSTRG.1766 chr15 - 10 0.9777262 1
MSTRG.1767 chr15 - 14 0.8439011 1
MSTRG.1768 chr15 - 165 0.9435564 1
MSTRG.1771 chr15 - 77 0.9886144 1
MSTRG.1774 chr15 - 55 6.21975E-18 1.596921E-15
MSTRG.1780 chr15 - 5 0.5706076 1
MSTRG.1784 chr15 - 2 0.7650099 1
MSTRG.1786 chr15 - 35 0.0005690883 0.01359195
MSTRG.1788 chr15 - 57 5.38681E-06 0.0002048983
MSTRG.1790 chr15 - 2 0.995712 1
MSTRG.1793 chr15 - 31 3.109988E-07 1.596979E-05
MSTRG.1794 chr15 - 41 0.4063258 1
MSTRG.1796 chr15 - 15 0.8870861 1
MSTRG.1798 chr15 - 2 0.8042357 1
MSTRG.18 chr15 - 2 0.9961662 1
MSTRG.1801 chr15 - 2 0.6300018 1
MSTRG.1806 chr15 - 2 0.9723495 1
MSTRG.1809 chr15 - 2 0.7554393 1
MSTRG.1815 chr15 - 2 0.8770287 1
MSTRG.1816 chr15 - 23 0.9949177 1
MSTRG.1827 chr15 - 54 0.146303 0.8240591
MSTRG.1828 chr15 - 2 0.7769831 1
MSTRG.1832 chr15 - 2 0.8978736 1
MSTRG.1833 chr15 - 54 0.8533529 1
MSTRG.1836 chr15 - 12 0.1234705 0.7650269
MSTRG.1837 chr15 - 6 0.5251458 1
MSTRG.1839 chr15 - 14 0.2438592 1
MSTRG.1843 chr15 - 6 0.9560712 1
MSTRG.1848 chr15 - 5 0.7336407 1
MSTRG.1851 chr15 - 2 0.8680919 1
MSTRG.1852 chr15 - 2 0.02098155 0.2421129
MSTRG.1854 chr15 - 23 0.5561183 1
MSTRG.1872 chr15 - 4 0.3633658 1
MSTRG.1897 chr15 - 6 0.4234492 1
MSTRG.1908 chr15 - 153 0.5269911 1
MSTRG.1915 chr15 - 4 0.6648108 1
MSTRG.1917 chr15 - 23 0.03800336 0.3737805
MSTRG.1919 chr15 - 2 0.9466145 1
MSTRG.1922 chr15 - 2 0.6875205 1
MSTRG.1925 chr15 - 11 0.9519834 1
MSTRG.1931 chr15 - 20 0.5890737 1
MSTRG.1939 chr15 - 46 0.2045088 0.9334689
MSTRG.1944 chr15 - 2 0.7173252 1
MSTRG.1951 chr15 - 8 0.5090264 1
MSTRG.1953 chr15 - 39 0.1245727 0.7650269
MSTRG.1955 chr15 - 7 0.3537707 1
MSTRG.1958 chr15 - 2 0.8097147 1
MSTRG.1962 chr15 - 2 0.9318826 1
MSTRG.1964 chr15 - 7 1 1
MSTRG.1969 chr15 - 93 0.00613404 0.09691784
MSTRG.1973 chr15 - 3 0.7613789 1
MSTRG.1975 chr15 - 23 0.8706003 1
MSTRG.1977 chr15 - 56 0.9956965 1
MSTRG.1978 chr15 - 67 0.9978236 1
MSTRG.2002 chr15 - 3 0.9091883 1
MSTRG.2010 chr15 - 2 0.4584434 1
MSTRG.2014 chr15 - 3 0.3517837 1
MSTRG.2017 chr15 - 21 1.110606E-15 1.629417E-13
MSTRG.2021 chr15 - 32 0.6257109 1
MSTRG.2027 chr15 - 19 0.9069052 1
MSTRG.2030 chr15 - 3 0.9431996 1
MSTRG.2033 chr15 - 2 0.7024872 1
MSTRG.2043 chr15 - 5 0.9491562 1
MSTRG.2045 chr15 - 2 0.8525779 1
MSTRG.2047 chr15 - 2 0.1729093 0.8747677
MSTRG.2055 chr15 - 31 0.01581944 0.2109944
MSTRG.2079 chr15 - 12 0.8150881 1
MSTRG.2095 chr15 - 6 0.877829 1
MSTRG.2099 chr15 - 2 0.9934841 1
MSTRG.2100 chr15 - 4 0.3547718 1
MSTRG.2101 chr15 - 2 0.4971935 1
MSTRG.2104 chr15 - 4 0.4367181 1
MSTRG.2107 chr15 - 3 0.004472776 0.07530396
MSTRG.2111 chr15 - 2 0.5300558 1
MSTRG.2120 chr15 - 37 0.6974309 1
MSTRG.2122 chr15 - 10 0.1355964 0.7974134
MSTRG.2124 chr15 - 21 0.8871759 1
MSTRG.2125 chr15 - 79 2.385929E-07 1.289657E-05
MSTRG.2129 chr15 - 82 2.229899E-06 9.956982E-05
MSTRG.2133 chr15 - 2 0.9924269 1
MSTRG.2136 chr15 - 3 0.1937782 0.9150096
MSTRG.2139 chr15 - 28 0.5340899 1
MSTRG.2149 chr15 - 2 0.507753 1
MSTRG.2154 chr15 - 3 0.7980327 1
MSTRG.2157 chr15 - 2 0.7867028 1
MSTRG.2167 chr15 - 2 0.03440708 0.3430686
MSTRG.2171 chr15 - 6 0.4487836 1
MSTRG.2175 chr15 - 43 0.7643502 1
MSTRG.2178 chr15 - 2 0.1704283 0.8683135
MSTRG.2181 chr15 - 2 0.6648908 1
MSTRG.2184 chr15 - 3 0.07520512 0.5750048
MSTRG.2185 chr15 - 4 0.4794314 1
