GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-0.1058147	9.746221021	0.6035872	0.6685998
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-0.1289863	9.723810985	0.5329887	0.6024892
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-0.1046184	9.742125381	0.6096079	0.6738039
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-0.1047394	9.734939607	0.6100065	0.6739094
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-0.09986032	9.754532853	0.6237953	0.6867348
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-0.1047849	9.741104712	0.6090259	0.6734978
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-0.104785	9.740167092	0.609274	0.6735708
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-0.1291357	9.687754601	0.536982	0.6059689
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-0.1281728	9.722339585	0.5358247	0.6051786
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-0.1151049	9.572097906	0.5915119	0.6580855
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-0.1187029	9.59813566	0.5792835	0.6468446
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-0.1058147	9.746221021	0.6035872	0.6685998
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-0.1058148	9.741604368	0.6037851	0.6687071
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-0.1058599	9.747964273	0.6028503	0.6680564
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-0.1059511	9.738853368	0.6055361	0.6702105
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-0.1010743	9.75697939	0.6195603	0.6830944
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-0.1059511	9.738891628	0.6055472	0.6702105
MSTRG.2448.8	chr7	66446103	66461982	-	15880	0.232857	2.977166563	0.5347138	0.6041299
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-0.1007042	9.755101534	0.6210269	0.6840282
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-0.1282791	9.614798741	0.5427091	0.6112861
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-0.1268424	9.669927395	0.5433415	0.6116385
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-0.128137	9.614282411	0.5433885	0.6116385
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-0.138312	9.581168354	0.5141578	0.585198
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-0.4446808	5.399926582	0.04915396	0.0733709
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-0.128137	9.614268464	0.5433913	0.6116385
NM_173010	chr7	66484120	66545188	+	61069	-0.00328043	8.168315972	0.9848566	0.9982714
NM_001033962	chr7	66484122	66562097	+	77976	-0.09177908	8.88875192	0.6720896	0.7324748
NM_011668	chr7	66484122	66562097	+	77976	-0.09177908	8.88875192	0.6720896	0.7324748
