GeneID	Chr	Start	End	Strand	Length	logFC.group2	logFC.group3	logFC.group4	logCPM	LR	PValue
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66599164	66599704	-	541	9.529252	0	0	1.92945636	628.559	6.485651E-136
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66931708	66931854	-	147	7.304743	1.413772234	-2.085673	1.82722502	514.8193	2.930973E-111
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934364	-	136	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934364	-	136	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934375	-	147	9.133206	2.359641661	2.50401	1.59798462	501.5336	2.219802E-108
MSTRG.2448	chr7	66934229	66934274	-	46	8.999405	2.359650703	2.50418	1.48318635	479.9731	1.04381E-103
MSTRG.2448	chr7	66934229	66934274	-	46	8.999405	2.359650703	2.50418	1.48318635	479.9731	1.04381E-103
MSTRG.2448	chr7	66934229	66934268	-	40	8.975309	2.359639613	2.503972	1.46253686	467.1329	6.323563E-101
MSTRG.2448	chr7	66934229	66934268	-	40	8.975309	2.359639613	2.503972	1.46253686	467.1329	6.323563E-101
MSTRG.2448	chr7	66934229	66934268	-	40	8.975309	2.359639613	2.503972	1.46253686	467.1329	6.323563E-101
MSTRG.2448	chr7	66934229	66934268	-	40	8.975309	2.359639613	2.503972	1.46253686	467.1329	6.323563E-101
MSTRG.2448	chr7	66934229	66934268	-	40	8.975309	2.359639613	2.503972	1.46253686	467.1329	6.323563E-101
MSTRG.2448	chr7	66934229	66934268	-	40	8.975309	2.359639613	2.503972	1.46253686	467.1329	6.323563E-101
MSTRG.2448	chr7	66585930	66587826	-	1897	8.678959	1.450319741	2.099492	2.44483893	460.9476	1.38423E-99
MSTRG.2448	chr7	66585930	66587856	-	1927	8.678819	1.45015204	2.229482	2.44578834	451.8006	1.327765E-97
MSTRG.2448	chr7	66934229	66934248	-	20	8.7796	2.359619437	2.503596	1.29687642	416.438	6.086922E-90
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66931778	66931854	-	77	8.666544	2.359601999	0	1.18934624	413.2416	2.997876E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2448	chr7	66589252	66589436	-	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
MSTRG.2451	chr7	66589252	66589436	+	185	6.90814	0.280945604	-0.955785	1.47595049	411.1982	8.307431E-89
