Coefficient:  group2 group3 group4 
           GeneID   Chr     Start       End Strand Length  logFC.group2
5292    MSTRG.405 chr15  35083315  35083496      -    182 -1.377346e+01
5299    MSTRG.405 chr15  35083315  35083496      -    182 -1.377346e+01
5298    MSTRG.405 chr15  35082441  35082756      -    316 -1.364365e+01
18302  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18311  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18320  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18329  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18338  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18348  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18358  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18368  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18376  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
18384  MSTRG.1182 chr15  63353068  63353138      +     71 -8.827136e+00
5291    MSTRG.405 chr15  35080297  35082756      -   2460 -1.283472e+01
18299  MSTRG.1182 chr15  63336226  63336351      +    126 -1.016501e+01
18317  MSTRG.1182 chr15  63336226  63336351      +    126 -1.016501e+01
18335  MSTRG.1182 chr15  63336226  63336351      +    126 -1.016501e+01
18345  MSTRG.1182 chr15  63336226  63336351      +    126 -1.016501e+01
18365  MSTRG.1182 chr15  63336226  63336351      +    126 -1.016501e+01
5287    MSTRG.404 chr15  35082008  35083051      +   1044 -1.290778e+01
18303  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18312  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18349  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18359  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18369  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18377  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18385  MSTRG.1182 chr15  63353912  63353987      +     76 -8.656503e+00
18301  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18310  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18319  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18328  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18337  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18347  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18357  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18367  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18375  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18383  MSTRG.1182 chr15  63351762  63351879      +    118 -8.769736e+00
18352  MSTRG.1182 chr15  63356263  63356341      +     79 -1.066281e+01
18362  MSTRG.1182 chr15  63356263  63356341      +     79 -1.066281e+01
18343  MSTRG.1182 chr15  63358095  63358292      +    198 -1.022459e+01
18353  MSTRG.1182 chr15  63358095  63358292      +    198 -1.022459e+01
18363  MSTRG.1182 chr15  63358095  63358292      +    198 -1.022459e+01
18305  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18314  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18323  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18332  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18341  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18351  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18361  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18371  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18379  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18387  MSTRG.1182 chr15  63354775  63354844      +     70 -8.359068e+00
18304  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18313  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18322  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18331  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18340  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18350  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18360  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18370  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18378  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18386  MSTRG.1182 chr15  63354414  63354476      +     63 -8.424555e+00
18342  MSTRG.1182 chr15  63356263  63356389      +    127 -1.026366e+01
5296    MSTRG.405 chr15  35086881  35087031      -    151 -1.017109e+01
5303    MSTRG.405 chr15  35086881  35087031      -    151 -1.017109e+01
5294    MSTRG.405 chr15  35084609  35084770      -    162 -1.192535e+01
5301    MSTRG.405 chr15  35084609  35084770      -    162 -1.192535e+01
5293    MSTRG.405 chr15  35084291  35084482      -    192 -1.298083e+01
5300    MSTRG.405 chr15  35084291  35084482      -    192 -1.298083e+01
18300  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18309  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18318  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18327  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18336  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18346  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18356  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18366  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18374  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
18382  MSTRG.1182 chr15  63349184  63349317      +    134 -8.443336e+00
16454  MSTRG.1059 chr15  58837941  58838174      +    234  1.487742e+00
5295    MSTRG.405 chr15  35085446  35085770      -    325 -9.337312e+00
5302    MSTRG.405 chr15  35085446  35085770      -    325 -9.337312e+00
16451  MSTRG.1059 chr15  58830532  58830716      +    185 -2.961094e-01
16457  MSTRG.1059 chr15  58855704  58855922      +    219  4.223184e-01
15893  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15905  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15917  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15930  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15943  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15956  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15970  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15984  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
15999  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
16015  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
16032  MSTRG.1038 chr15  57921898  57922052      +    155 -9.623473e+00
7831    MSTRG.611 chr15  45661524  45661719      -    196  6.074737e-01
7840    MSTRG.611 chr15  45661524  45661719      -    196  6.074737e-01
16455  MSTRG.1059 chr15  58840529  58840771      +    243 -3.688863e-01
16450  MSTRG.1059 chr15  58724175  58724319      +    145  3.739919e+00
26043  MSTRG.1537 chr15  75047132  75048941      +   1810  3.501243e+00
7830    MSTRG.611 chr15  45660268  45660458      -    191  2.551691e-01
7839    MSTRG.611 chr15  45660268  45660458      -    191  2.551691e-01
15896  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15908  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15920  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15933  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15946  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15959  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15973  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
15987  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
16002  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
16018  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
16035  MSTRG.1038 chr15  57929893  57929972      +     80 -1.001537e+01
8263    MSTRG.640 chr15  45365563  45367287      +   1725  3.142544e-01
8272    MSTRG.640 chr15  45365563  45367287      +   1725  3.142544e-01
15894  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15906  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15918  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15931  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15944  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15957  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15971  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15985  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
16000  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
16016  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
16033  MSTRG.1038 chr15  57924632  57924757      +    126 -9.711501e+00
15895  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15907  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15919  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15932  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15945  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15958  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15972  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
15986  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
16001  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
16017  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
16034  MSTRG.1038 chr15  57925811  57925939      +    129 -9.626959e+00
16453  MSTRG.1059 chr15  58834733  58834850      +    118  2.156620e+00
7832    MSTRG.611 chr15  45668799  45669017      -    219  8.763750e-01
7841    MSTRG.611 chr15  45668799  45669017      -    219  8.763750e-01
15897  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15909  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15921  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15934  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15947  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15960  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15974  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
15988  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
16003  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
16019  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
16036  MSTRG.1038 chr15  57931638  57931743      +    106 -9.960638e+00
16456  MSTRG.1059 chr15  58853063  58853180      +    118  1.621959e+00
15922  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
15935  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
15948  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
15961  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
15975  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
15989  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
16005  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
16037  MSTRG.1038 chr15  57953648  57953731      +     84 -9.698802e+00
7828    MSTRG.611 chr15  45658244  45658408      -    165  1.758151e-01
7837    MSTRG.611 chr15  45658244  45658408      -    165  1.758151e-01
16367  MSTRG.1051 chr15  58430646  58430748      -    103  4.571573e+00
16458  MSTRG.1059 chr15  58860915  58861073      +    159 -1.289008e+00
7829    MSTRG.611 chr15  45658569  45658706      -    138  1.030189e-01
7838    MSTRG.611 chr15  45658569  45658706      -    138  1.030189e-01
15898  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
15923  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
15936  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
15962  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
15990  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
16020  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
16038  MSTRG.1038 chr15  57967166  57967266      +    101 -8.998046e+00
16452  MSTRG.1059 chr15  58833984  58834166      +    183 -6.326941e-01
7834    MSTRG.611 chr15  45653322  45654419      -   1098  5.984910e-02
15890  MSTRG.1038 chr15  57910231  57910386      +    156 -8.500830e+00
