GeneID Chr Start End Strand Length logFC logCPM PValue FDR
MSTRG.1.1 chr15 21008905 21009120 - 216 -0.06353976 2.667989 1 1
MSTRG.10.1 chr15 20860812 20861507 - 696 0.4094195 1.7763168 0.7453604 0.858056
MSTRG.100.1 chr15 24938708 24939090 - 383 -0.6918549 2.165718 0.4269204 0.5947337
MSTRG.1000.1 chr15 52578382 52579171 - 790 1.83503 2.3692886 0.007771225 0.02598732
MSTRG.1001.1 chr15 52589233 52589551 - 319 1.083771 1.2337669 0.403031 0.5705817
MSTRG.1003.1 chr15 52781241 52861467 - 80227 -0.3733264 10.8421855 0.1839124 0.3264369
MSTRG.1003.2 chr15 52805041 52861329 - 56289 -0.20375 10.4176139 0.4963771 0.6558628
MSTRG.1006.1 chr15 53836170 53837029 - 860 -0.5051366 1.7493195 0.4393291 0.607617
MSTRG.1007.1 chr15 53837861 53838135 - 275 4.572608 0.4813969 0.2518656 0.4097257
MSTRG.1009.1 chr15 53999684 54032778 - 33095 0.8737594 2.5996581 0.3230026 0.4847879
MSTRG.1011.1 chr15 54220256 54220535 - 280 0.1381202 1.2307447 1 1
MSTRG.1015.1 chr15 54352434 54419718 - 67285 -0.392857 3.285507 0.2714604 0.4318872
MSTRG.1018.1 chr15 54737806 54770206 - 32401 0.2346664 4.2427959 0.6604458 0.7969803
MSTRG.1020.1 chr15 55044236 55430881 - 386646 0.6518787 6.2204434 0.01416413 0.04262224
MSTRG.1023.1 chr15 55073622 55073902 - 281 0.0585583 1.0538832 1 1
MSTRG.1026.1 chr15 55168134 55240929 - 72796 0.4421089 4.9161097 0.2038078 0.3533717
MSTRG.1028.1 chr15 55168836 55241944 - 73109 0.3923032 4.9221888 0.2682401 0.428361
MSTRG.103.1 chr15 25109271 25112821 - 3551 -0.7717856 3.0283673 0.08910365 0.1877557
MSTRG.1030.1 chr15 55409692 55454726 - 45035 0.4639989 4.3137436 0.2792805 0.4392517
MSTRG.1032.1 chr15 57601649 57601869 - 221 -0.7801617 1.7549358 0.172865 0.3100525
MSTRG.1035.1 chr15 57618951 57721197 - 102247 0.309195 4.3231428 0.4091995 0.5762555
MSTRG.1039.1 chr15 57905218 57913703 - 8486 -2.538714 4.7783162 4.770455E-15 1.226237E-13
MSTRG.104.1 chr15 25154093 25155003 - 911 -0.7686725 10.1807957 0.0002014244 0.001035515
MSTRG.1040.4 chr15 56922377 56934976 - 12600 -0.5501912 6.899626 0.04887033 0.1185501
MSTRG.1040.5 chr15 56922380 57025788 - 103409 -0.3028146 7.961048 0.1554524 0.2867771
MSTRG.1040.6 chr15 56922568 57026284 - 103717 -0.2854767 7.9494263 0.1818103 0.3232435
MSTRG.1040.7 chr15 56922593 56947682 - 25090 -0.322012 7.1321459 0.2494306 0.4073174
MSTRG.1043.1 chr15 57058410 57058729 - 320 1.19323 1.6783486 0.2286225 0.384522
MSTRG.1044.1 chr15 57135690 57210829 - 75140 -0.1484022 6.041528 0.6023131 0.7488702
MSTRG.1044.2 chr15 57142076 57210829 - 68754 -0.1573801 6.0175795 0.5846495 0.734167
MSTRG.1044.4 chr15 57194484 57210829 - 16346 -0.007159608 5.4915954 0.9459209 1
MSTRG.1044.5 chr15 57194484 57210800 - 16317 -0.007159608 5.4915954 0.9459209 1
MSTRG.1044.6 chr15 57194497 57210827 - 16331 -0.007159608 5.4915954 0.9459209 1
MSTRG.1047.1 chr15 57538956 57539241 - 286 -0.1395548 5.6674515 0.7604688 0.8666988
MSTRG.1048.1 chr15 57539614 57539940 - 327 0.6025318 5.907647 0.0446451 0.1110144
MSTRG.1049.1 chr15 58192451 58269771 - 77321 -0.5897136 5.8139208 0.2143045 0.3656287
MSTRG.105.1 chr15 25156054 25156281 - 228 2.017656 8.9777008 7.215432E-18 2.280611E-16
MSTRG.1051.1 chr15 58245622 58430748 - 185127 -0.2403956 7.7502062 0.5264374 0.6811123
MSTRG.1051.6 chr15 58245641 58624314 - 378674 0.545724 10.4756606 0.0873532 0.1850725
MSTRG.1054.1 chr15 58490376 58490594 - 219 -0.3118405 0.7748249 0.7638144 0.8695794
MSTRG.1055.1 chr15 58491215 58632908 - 141694 0.2694 6.3314239 0.5890186 0.739001
MSTRG.1055.2 chr15 58491339 58640098 - 148760 0.3725691 6.443556 0.3912563 0.5592933
MSTRG.1058.1 chr15 58638888 58660648 - 21761 0.4084222 3.6906184 0.4410258 0.608738
MSTRG.1061.1 chr15 58804292 58850547 - 46256 -1.336796 7.7686059 0.001714285 0.007213859
MSTRG.1062.1 chr15 59171225 59225859 - 54635 0.2830153 8.9818572 0.1122306 0.2235705
MSTRG.1063.1 chr15 58879309 58885972 - 6664 0.6300104 4.7613425 0.06694483 0.1509797
MSTRG.1067.1 chr15 59001776 59072593 - 70818 0.3003991 5.8741666 0.3641232 0.528474
MSTRG.1067.2 chr15 59059946 59072593 - 12648 0.2319636 4.5938818 0.5608685 0.7129061
MSTRG.1068.1 chr15 59011246 59109925 - 98680 0.3718411 6.166165 0.2116813 0.3624575
MSTRG.107.1 chr15 25280823 25281068 - 246 -1.954148 3.9120358 0.009859872 0.03156195
MSTRG.1070.1 chr15 59140665 59163226 - 22562 0.01537354 9.5685097 0.9428165 1
MSTRG.1071.1 chr15 59145115 59158361 - 13247 -0.2185786 8.0787606 0.3739311 0.5401367
MSTRG.1075.1 chr15 59845120 59845322 - 203 -0.3888998 4.6525639 0.4762261 0.6410274
MSTRG.1077.1 chr15 59826893 59827359 - 467 1.76857 2.1928865 0.06550776 0.1480517
MSTRG.1077.2 chr15 59826893 59827359 - 467 1.76857 2.1928865 0.06550776 0.1480517
MSTRG.1079.1 chr15 55492770 55507864 - 15095 2.994792 7.259371 4.391866E-23 1.993627E-21
MSTRG.1081.1 chr15 55495164 55611370 - 116207 2.113083 8.1571503 2.76029E-22 1.189713E-20
MSTRG.1083.1 chr15 55596137 55596671 - 535 1.794587 2.0216124 0.06956104 0.155483
MSTRG.1086.1 chr15 55646956 55708999 - 62044 -0.6966035 9.524294 0.003131898 0.01233962
MSTRG.1086.2 chr15 55646956 55712188 - 65233 -0.700497 9.5386455 0.002774054 0.01118798
MSTRG.1086.8 chr15 55647455 55700658 - 53204 -0.7126289 9.4935076 0.002768424 0.01117584
MSTRG.1086.9 chr15 55647455 55700590 - 53136 -0.7126289 9.4935076 0.002768424 0.01117584
MSTRG.1088.1 chr15 55662748 55746466 - 83719 -0.2833563 7.8859225 0.2661042 0.426438
MSTRG.1088.2 chr15 55662794 55788405 - 125612 -0.1960206 8.0225386 0.4255921 0.5934645
MSTRG.1092.1 chr15 55734618 55735472 - 855 -0.8853617 4.8143738 0.006073194 0.02136101
MSTRG.1093.1 chr15 55736909 55739431 - 2523 -0.1090894 2.4477981 1 1
MSTRG.1094.1 chr15 55761665 55764012 - 2348 0.4395652 2.7615619 0.4637203 0.6305591
MSTRG.1095.1 chr15 55776414 55776701 - 288 -0.860083 2.0132896 0.1845672 0.3273267
MSTRG.1096.1 chr15 55793561 56361880 - 568320 0.7175816 9.255908 0.0008870359 0.003967487
MSTRG.1096.2 chr15 56114822 56279092 - 164271 0.09145015 7.8452192 0.7038921 0.8269569
MSTRG.1096.3 chr15 56358660 56606791 - 248132 0.7721851 8.2682467 0.003029641 0.01200323
MSTRG.1096.4 chr15 56361397 56606772 - 245376 0.7970947 8.2359746 0.002428178 0.00994341
MSTRG.1096.5 chr15 56559931 56606804 - 46874 0.4897647 4.0098216 0.2566569 0.4162505
MSTRG.1096.6 chr15 56559931 56803556 - 243626 1.090339 6.8941584 0.0007058625 0.003219147
MSTRG.1099.1 chr15 55849418 55849690 - 273 -0.09040648 1.8018028 1 1
MSTRG.11.1 chr15 21244328 21244738 - 411 -0.4684193 1.2358978 0.6169281 0.7608185
MSTRG.1102.1 chr15 55892886 55938810 - 45925 1.516217 5.9773534 0.0001647434 0.0008809024
MSTRG.1112.1 chr15 56403346 56404004 - 659 -0.2831099 2.1763086 0.6342345 0.774772
MSTRG.1117.1 chr15 56667241 56771836 - 104596 1.228853 6.4764504 0.0007048859 0.003219147
MSTRG.1117.2 chr15 56767335 56868520 - 101186 0.3236382 4.8399814 0.392728 0.5593359
MSTRG.1119.1 chr15 56804920 56805343 - 424 4.691786 1.3625254 0.1464058 0.2739971
MSTRG.1120.1 chr15 56833007 56833582 - 576 0.9406135 1.7622359 0.3525785 0.5178838
MSTRG.1124.1 chr15 59423625 59665148 - 241524 0.7911787 8.1642531 0.001334936 0.005724797
MSTRG.1128.1 chr15 59693550 59693966 - 417 -0.8812794 5.5291617 0.009327397 0.03008632
MSTRG.1129.1 chr15 59712891 59713222 - 332 1.87728 1.856794 0.1527259 0.2823576
MSTRG.1130.1 chr15 60593888 60594636 - 749 -0.4382333 1.1065551 0.6411756 0.779902
MSTRG.1131.1 chr15 60321133 60372320 - 51188 0.6465071 3.4149368 0.1746957 0.3121944
MSTRG.1131.2 chr15 60335179 60372329 - 37151 0.805752 3.3201246 0.07886287 0.1708162
MSTRG.1131.3 chr15 60362068 60372320 - 10253 0.3801414 2.9887219 0.5471221 0.7012827
MSTRG.1135.1 chr15 59926290 60196244 - 269955 -0.3692691 11.5917402 0.08884818 0.1877422
MSTRG.1136.2 chr15 59930286 59949769 - 19484 -1.339887 7.1906466 1.679982E-08 1.921845E-07
MSTRG.1137.1 chr15 59951346 59981698 - 30353 -0.07433909 8.9223505 0.7087559 0.8308411
MSTRG.1140.1 chr15 60073385 60073601 - 217 4.823236 1.1251127 0.07913436 0.1713173
MSTRG.1147.1 chr15 60658063 60659298 - 1236 1.767243 4.9089923 0.01153955 0.03575837
