GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66599164	66599704	-	541	-9.77104	1.92945636	1.024702E-61	9.386706E-61
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66931708	66931854	-	147	-9.632173	1.82722502	7.978733E-55	6.468455E-54
MSTRG.2448	chr7	66465881	66485019	-	19139	-2.973928	4.53029016	2.108631E-51	1.599992E-50
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934364	-	136	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934364	-	136	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934375	-	147	-6.668477	1.59798462	8.86655E-50	6.529067E-49
MSTRG.2448	chr7	66934229	66934274	-	46	-6.534466	1.48318635	6.39868E-48	4.562079E-47
MSTRG.2448	chr7	66934229	66934274	-	46	-6.534466	1.48318635	6.39868E-48	4.562079E-47
MSTRG.2448	chr7	66934229	66934268	-	40	-6.510571	1.46253686	1.833518E-46	1.260366E-45
MSTRG.2448	chr7	66934229	66934268	-	40	-6.510571	1.46253686	1.833518E-46	1.260366E-45
MSTRG.2448	chr7	66934229	66934268	-	40	-6.510571	1.46253686	1.833518E-46	1.260366E-45
MSTRG.2448	chr7	66934229	66934268	-	40	-6.510571	1.46253686	1.833518E-46	1.260366E-45
MSTRG.2448	chr7	66934229	66934268	-	40	-6.510571	1.46253686	1.833518E-46	1.260366E-45
