GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-1.241084967	8.073314084	0.0031626	0.01162154
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-1.3565151516	8.14734122	0.001296588	0.005271278
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-1.2394773983	8.07200812	0.003204356	0.01173371
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-1.2097848297	7.984255831	0.00332198	0.01203786
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-2.1952724195	5.104910992	1.155028E-05	7.519076E-05
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-1.2393061858	8.071949817	0.003208476	0.01174193
NM_001033962	chr7	66484122	66562097	+	77976	-1.4741906637	7.536455443	0.0003239361	0.001566941
NM_011668	chr7	66484122	66562097	+	77976	-1.4741906637	7.536455443	0.0003239361	0.001566941
NM_173010	chr7	66484120	66545188	+	61069	-1.6347301563	7.021182315	0.0001190089	0.0006311904
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-1.9707459408	8.501856914	5.806306E-06	4.071558E-05
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-1.5554943324	8.26961953	0.0002343965	0.001162525
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-1.9904161942	8.510725248	4.880744E-06	3.476975E-05
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-1.9478372729	8.484351396	7.385229E-06	5.093289E-05
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-1.9959427994	8.580195051	2.915222E-06	2.17049E-05
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-2.0205243667	8.525261135	3.720074E-06	2.723003E-05
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-1.9832915062	8.504636018	5.462397E-06	3.851943E-05
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-1.4227699399	8.194603222	0.0007230559	0.003136912
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-1.5659387797	8.272410715	0.0002202257	0.001098326
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-1.1615184001	7.964728284	0.006139264	0.02025634
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-1.2032577886	7.984079227	0.004557782	0.01597341
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-1.9699945382	8.501414567	5.843948E-06	4.093375E-05
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-1.9143794135	8.470412715	9.961573E-06	6.566678E-05
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-2.0244418129	8.532709996	3.487029E-06	2.571786E-05
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-1.914583663	8.468704642	9.916884E-06	6.544099E-05
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-1.9789741319	8.574218496	3.27562E-06	2.421457E-05
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-1.9298235105	8.476581249	8.728356E-06	5.877343E-05
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-4.0253470764	3.3196087	2.072343E-12	4.072576E-11
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-1.9784312802	8.572564313	3.227065E-06	2.391308E-05
