GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-1.361209	8.073314084	0.0012449	0.005546749
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-1.449107	8.14734122	0.0006062782	0.002877182
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-1.359327	8.07200812	0.001265435	0.005634239
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-1.415569	7.984255831	0.0006279784	0.002971167
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-2.005497	5.104910992	5.200507E-05	0.0003069866
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-1.359156	8.071949817	0.001267177	0.005637996
NM_001033962	chr7	66484122	66562097	+	77976	-1.571657	7.536455443	0.0001312336	0.0007160167
NM_011668	chr7	66484122	66562097	+	77976	-1.571657	7.536455443	0.0001312336	0.0007160167
NM_173010	chr7	66484120	66545188	+	61069	-1.608278	7.021182315	0.0001501671	0.0008053018
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-1.884823	8.501856914	1.369061E-05	9.005921E-05
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-1.622785	8.26961953	0.0001274903	0.0006980234
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-1.897563	8.510725248	1.237373E-05	8.252224E-05
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-1.872256	8.484351396	1.561599E-05	0.0001019757
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-1.937897	8.580195051	5.35541E-06	3.844463E-05
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-1.926593	8.525261135	9.5965E-06	6.53208E-05
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-1.895176	8.504636018	1.314392E-05	8.691903E-05
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-1.526658	8.194603222	0.0002967368	0.00149778
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-1.633304	8.272410715	0.000119645	0.0006590991
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-1.291386	7.964728284	0.002380277	0.009817077
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-1.322819	7.984079227	0.001867985	0.007944638
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-1.884963	8.501414567	1.365681E-05	8.993126E-05
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-1.840954	8.470412715	2.049364E-05	0.000131211
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-1.926171	8.532709996	9.424531E-06	6.449532E-05
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-1.842004	8.468704642	2.023854E-05	0.0001299953
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-1.922634	8.574218496	5.909723E-06	4.172078E-05
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-1.85364	8.476581249	1.849361E-05	0.0001192286
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-3.507598	3.3196087	2.063505E-10	2.683841E-09
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-1.921402	8.572564313	5.869583E-06	4.16249E-05
