GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.178.3	chr15	25418615	25667563	+	248949	0.191513	9.40356194	0.3953745	0.5579449
MSTRG.178.4	chr15	25421448	25667567	+	246120	0.189701	9.40260404	0.4001173	0.5615797
MSTRG.178.5	chr15	25421448	25667567	+	246120	0.189701	9.40260404	0.4001173	0.5615797
MSTRG.178.7	chr15	25426627	25667567	+	240941	0.1868505	9.4007158	0.4069627	0.5682825
MSTRG.178.8	chr15	25428482	25667563	+	239082	0.1865356	9.40010668	0.4082292	0.5694917
MSTRG.178.10	chr15	25439569	25667563	+	227995	0.1827501	9.39725706	0.4177658	0.5773997
MSTRG.178.13	chr15	25440668	25667541	+	226874	0.182271	9.39709654	0.4188762	0.5781061
MSTRG.178.14	chr15	25449081	25667541	+	218461	0.1750129	9.39407065	0.437261	0.5959097
MSTRG.178.1	chr15	25414237	25667541	+	253305	0.1442484	9.44399291	0.5189082	0.6647341
MSTRG.178.2	chr15	25414237	25667541	+	253305	0.1442484	9.44399291	0.5189082	0.6647341
