GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-1.44369	8.073314084	0.0006332159	0.003795058
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-1.543794	8.14734122	0.0002687719	0.001786777
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-1.441601	8.07200812	0.0006452975	0.003863773
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-1.449133	7.984255831	0.000469725	0.002906916
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-1.953303	5.104910992	7.859571E-05	0.0006075419
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-1.44143	8.071949817	0.0006462259	0.003865639
NM_001033962	chr7	66484122	66562097	+	77976	-1.657984	7.536455443	5.714941E-05	0.0004658903
NM_011668	chr7	66484122	66562097	+	77976	-1.657984	7.536455443	5.714941E-05	0.0004658903
NM_173010	chr7	66484120	66545188	+	61069	-1.711172	7.021182315	5.786354E-05	0.0004692711
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-2.093178	8.501856914	1.62013E-06	1.784991E-05
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-1.730287	8.26961953	4.656566E-05	0.0003876762
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-2.108895	8.510725248	1.413033E-06	1.570621E-05
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-2.072531	8.484351396	2.033691E-06	2.209568E-05
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-2.155195	8.580195051	5.08558E-07	6.142871E-06
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-2.13863	8.525261135	1.072766E-06	1.220539E-05
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-2.103757	8.504636018	1.55988E-06	1.721635E-05
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-1.614133	8.194603222	0.0001355145	0.0009843955
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-1.737718	8.272410715	4.499006E-05	0.000376559
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-1.378753	7.964728284	0.001208145	0.006546122
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-1.410072	7.984079227	0.0009376768	0.005339051
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-2.092426	8.501414567	1.630924E-06	1.793731E-05
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-2.040686	8.470412715	2.724604E-06	2.875512E-05
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-2.142403	8.532709996	1.002952E-06	1.15792E-05
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-2.040726	8.468704642	2.715933E-06	2.871194E-05
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-2.139741	8.574218496	5.617769E-07	6.715447E-06
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-2.055327	8.476581249	2.397711E-06	2.556335E-05
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-3.979147	3.3196087	2.251661E-12	6.753906E-11
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-2.139165	8.572564313	5.520995E-07	6.617805E-06
