GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.222.1	chr15	25582387	25684231	-	101845	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.11	chr15	25582400	25684231	-	101832	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.12	chr15	25582400	25665832	-	83433	-0.2837162	9.0731352	0.1741604	0.2671253
MSTRG.222.13	chr15	25582402	25684222	-	101821	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.14	chr15	25582402	25684222	-	101821	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.2	chr15	25582387	25684231	-	101845	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.3	chr15	25582387	25684231	-	101845	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.4	chr15	25582387	25684231	-	101845	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.5	chr15	25582387	25684231	-	101845	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.6	chr15	25582387	25684231	-	101845	-0.2687156	9.1096937	0.2126775	0.3111673
MSTRG.222.7	chr15	25582387	25591256	-	8870	-0.01848175	7.8404408	0.9288617	0.9721493
MSTRG.178.1	chr15	25414237	25667541	+	253305	-0.5705604	9.4173848	0.005839429	0.01406936
MSTRG.178.10	chr15	25439569	25667563	+	227995	-0.5693955	9.3688107	0.005963286	0.01429796
MSTRG.178.11	chr15	25439857	25505666	+	65810	-2.292883	6.0196843	4.579176E-09	3.081916E-08
MSTRG.178.12	chr15	25440213	25505667	+	65455	-2.292883	6.0196843	4.579176E-09	3.081916E-08
MSTRG.178.13	chr15	25440668	25667541	+	226874	-0.5689171	9.3686529	0.00599139	0.01435444
MSTRG.178.14	chr15	25449081	25667541	+	218461	-0.5615119	9.3647713	0.006599093	0.01571335
MSTRG.178.18	chr15	25455065	25505666	+	50602	-2.234422	5.9154667	2.950859E-09	2.047368E-08
MSTRG.178.2	chr15	25414237	25667541	+	253305	-0.5705604	9.4173848	0.005839429	0.01406936
MSTRG.178.22	chr15	25461583	25505667	+	44085	-2.207215	5.8740803	3.043149E-09	2.107973E-08
MSTRG.178.26	chr15	25655172	25667521	+	12350	-3.305687	3.6888586	2.482268E-10	1.918812E-09
MSTRG.178.3	chr15	25418615	25667563	+	248949	-0.5767352	9.3747815	0.005340891	0.01302262
MSTRG.178.4	chr15	25421448	25667567	+	246120	-0.5754882	9.3733617	0.005480327	0.01330936
MSTRG.178.5	chr15	25421448	25667567	+	246120	-0.5754882	9.3733617	0.005480327	0.01330936
MSTRG.178.7	chr15	25426627	25667567	+	240941	-0.572956	9.3717943	0.005623899	0.01360783
MSTRG.178.8	chr15	25428482	25667563	+	239082	-0.5734212	9.3712973	0.005625549	0.01360783
