GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	-2.054127	8.073314084	1.91593E-06	9.942852E-06
MSTRG.2451.2	chr7	66483910	66599488	+	115579	-2.141286	8.14734122	7.451254E-07	4.115587E-06
MSTRG.2451.3	chr7	66484077	66579526	+	95450	-2.052631	8.07200812	1.952148E-06	1.010571E-05
MSTRG.2451.4	chr7	66484077	66566955	+	82879	-1.982007	7.984255831	2.640853E-06	1.331899E-05
MSTRG.2451.5	chr7	66484085	66509167	+	25083	-2.93078	5.104910992	1.892462E-08	1.366803E-07
MSTRG.2451.6	chr7	66484088	66579526	+	95439	-2.05246	8.071949817	1.955751E-06	1.011601E-05
NM_001033962	chr7	66484122	66562097	+	77976	-2.17029	7.536455443	2.408051E-07	1.451546E-06
NM_011668	chr7	66484122	66562097	+	77976	-2.17029	7.536455443	2.408051E-07	1.451546E-06
NM_173010	chr7	66484120	66545188	+	61069	-2.32502	7.021182315	9.854638E-08	6.46221E-07
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-2.717221	8.501856914	1.270321E-09	1.096921E-08
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-2.295633	8.26961953	1.215675E-07	7.840601E-07
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-2.741699	8.510725248	9.832821E-10	8.645436E-09
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-2.696802	8.484351396	1.659912E-09	1.410025E-08
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-2.67887	8.580195051	9.848317E-10	8.646933E-09
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-2.77139	8.525261135	7.25198E-10	6.503957E-09
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-2.734186	8.504636018	1.157664E-09	1.007972E-08
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-2.162321	8.194603222	5.353566E-07	3.015409E-06
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-2.306528	8.272410715	1.138929E-07	7.398906E-07
MSTRG.2448.18	chr7	66497279	66579518	-	82240	-1.972839	7.964728284	5.597456E-06	2.546477E-05
MSTRG.2448.19	chr7	66499737	66587826	-	88090	-1.975774	7.984079227	5.3985E-06	2.475728E-05
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-2.716469	8.501414567	1.279538E-09	1.10336E-08
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-2.656228	8.470412715	2.559979E-09	2.084222E-08
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-2.771991	8.532709996	6.898411E-10	6.204611E-09
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-2.657581	8.468704642	2.507133E-09	2.048458E-08
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-2.658459	8.574218496	1.147491E-09	1.000504E-08
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-2.673657	8.476581249	2.151813E-09	1.788625E-08
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-3.032768	3.3196087	4.070213E-08	2.857354E-07
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-2.659925	8.572564313	1.087755E-09	9.497406E-09
