GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66599164	66599704	-	541	-9.436348	1.92945636	4.67077E-52	3.189435E-51
MSTRG.2448	chr7	66465881	66485019	-	19139	-2.918037	4.53029016	1.671239E-48	1.069773E-47
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934364	-	136	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934364	-	136	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934375	-	147	-6.755136	1.59798462	5.271034E-43	3.069593E-42
MSTRG.2448	chr7	66934229	66934274	-	46	-6.621343	1.48318635	3.492346E-41	1.968919E-40
MSTRG.2448	chr7	66934229	66934274	-	46	-6.621343	1.48318635	3.492346E-41	1.968919E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66931708	66931854	-	147	-5.882659	1.82722502	6.250201E-41	3.501875E-40
MSTRG.2448	chr7	66585930	66587826	-	1897	-7.215441	2.44483893	1.61516E-40	9.003167E-40
MSTRG.2448	chr7	66934229	66934268	-	40	-6.59726	1.46253686	5.715726E-40	3.147858E-39
MSTRG.2448	chr7	66934229	66934268	-	40	-6.59726	1.46253686	5.715726E-40	3.147858E-39
MSTRG.2448	chr7	66934229	66934268	-	40	-6.59726	1.46253686	5.715726E-40	3.147858E-39
MSTRG.2448	chr7	66934229	66934268	-	40	-6.59726	1.46253686	5.715726E-40	3.147858E-39
MSTRG.2448	chr7	66934229	66934268	-	40	-6.59726	1.46253686	5.715726E-40	3.147858E-39
MSTRG.2448	chr7	66934229	66934268	-	40	-6.59726	1.46253686	5.715726E-40	3.147858E-39
MSTRG.2448	chr7	66585930	66587856	-	1927	-7.215469	2.44578834	6.618839E-40	3.64208E-39
MSTRG.2448	chr7	66934229	66934248	-	20	-6.4016	1.29687642	2.148679E-35	1.085696E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66589252	66589436	-	185	-6.608785	1.47595049	3.046277E-35	1.525098E-34
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66931778	66931854	-	77	-6.288579	1.18934624	1.390809E-33	6.675605E-33
MSTRG.2448	chr7	66934229	66934240	-	12	-6.318405	1.22678616	3.947498E-33	1.875135E-32
MSTRG.2448	chr7	66515483	66516384	-	902	-5.911846	1.66430375	8.316069E-32	3.84588E-31
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66597736	66597858	-	123	-8.594799	1.19555425	8.170215E-31	3.729591E-30
MSTRG.2448	chr7	66499737	66530634	-	30898	-3.125837	6.45809781	1.417898E-30	6.43784E-30
MSTRG.2448	chr7	66939318	66939452	-	135	-6.271893	2.18436055	3.510202E-30	1.576512E-29
MSTRG.2448	chr7	66939306	66939433	-	128	-6.271893	2.18436055	3.510202E-30	1.576512E-29
MSTRG.2448	chr7	66939318	66939452	-	135	-6.271893	2.18436055	3.510202E-30	1.576512E-29
MSTRG.2448	chr7	66939318	66939452	-	135	-6.271893	2.18436055	3.510202E-30	1.576512E-29
MSTRG.2448	chr7	66939306	66939433	-	128	-6.271893	2.18436055	3.510202E-30	1.576512E-29
