GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.222.1	chr15	25582387	25684231	-	101845	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.11	chr15	25582400	25684231	-	101832	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.12	chr15	25582400	25665832	-	83433	-0.4917664	9.0731352	0.01993793	0.04889377
MSTRG.222.13	chr15	25582402	25684222	-	101821	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.14	chr15	25582402	25684222	-	101821	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.2	chr15	25582387	25684231	-	101845	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.3	chr15	25582387	25684231	-	101845	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.4	chr15	25582387	25684231	-	101845	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.5	chr15	25582387	25684231	-	101845	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.6	chr15	25582387	25684231	-	101845	-0.4445923	9.1096937	0.04150163	0.09156539
MSTRG.222.7	chr15	25582387	25591256	-	8870	-0.6419608	7.8404408	0.007843078	0.02219258
MSTRG.178.1	chr15	25414237	25667541	+	253305	-0.5371284	9.4173848	0.01013845	0.02757219
MSTRG.178.10	chr15	25439569	25667563	+	227995	-0.4933529	9.3688107	0.01831147	0.04580014
MSTRG.178.11	chr15	25439857	25505666	+	65810	-0.861919	6.0196843	0.03185025	0.0738213
MSTRG.178.12	chr15	25440213	25505667	+	65455	-0.861919	6.0196843	0.03185025	0.0738213
MSTRG.178.13	chr15	25440668	25667541	+	226874	-0.4933538	9.3686529	0.01827957	0.04577402
MSTRG.178.14	chr15	25449081	25667541	+	218461	-0.4903082	9.3647713	0.01884973	0.04670835
MSTRG.178.18	chr15	25455065	25505666	+	50602	-0.8426953	5.9154667	0.03224782	0.07470201
MSTRG.178.2	chr15	25414237	25667541	+	253305	-0.5371284	9.4173848	0.01013845	0.02757219
MSTRG.178.22	chr15	25461583	25505667	+	44085	-0.7692332	5.8740803	0.04839352	0.103196
MSTRG.178.26	chr15	25655172	25667521	+	12350	-0.6168683	3.6888586	0.4707659	0.6300997
MSTRG.178.3	chr15	25418615	25667563	+	248949	-0.4909876	9.3747815	0.0188477	0.04670835
MSTRG.178.4	chr15	25421448	25667567	+	246120	-0.4899956	9.3733617	0.01919193	0.04736378
MSTRG.178.5	chr15	25421448	25667567	+	246120	-0.4899956	9.3733617	0.01919193	0.04736378
MSTRG.178.7	chr15	25426627	25667567	+	240941	-0.4913172	9.3717943	0.01871036	0.04647096
MSTRG.178.8	chr15	25428482	25667563	+	239082	-0.4924494	9.3712973	0.0185372	0.04609455
