GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.222.1	chr15	25582387	25684231	-	101845	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.11	chr15	25582400	25684231	-	101832	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.12	chr15	25582400	25665832	-	83433	-0.8875517	9.0731352	2.177931E-05	0.0001235802
MSTRG.222.13	chr15	25582402	25684222	-	101821	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.14	chr15	25582402	25684222	-	101821	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.2	chr15	25582387	25684231	-	101845	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.3	chr15	25582387	25684231	-	101845	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.4	chr15	25582387	25684231	-	101845	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.5	chr15	25582387	25684231	-	101845	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.6	chr15	25582387	25684231	-	101845	-0.8755146	9.1096937	5.142314E-05	0.0002689002
MSTRG.222.7	chr15	25582387	25591256	-	8870	-0.6099132	7.8404408	0.01031366	0.03135639
MSTRG.178.1	chr15	25414237	25667541	+	253305	-1.197782	9.4173848	8.393581E-09	8.909306E-08
MSTRG.178.10	chr15	25439569	25667563	+	227995	-1.190938	9.3688107	1.023567E-08	1.065259E-07
MSTRG.178.11	chr15	25439857	25505666	+	65810	-3.372165	6.0196843	1.342224E-17	3.450162E-16
MSTRG.178.12	chr15	25440213	25505667	+	65455	-3.372165	6.0196843	1.342224E-17	3.450162E-16
MSTRG.178.13	chr15	25440668	25667541	+	226874	-1.190461	9.3686529	1.027432E-08	1.066679E-07
MSTRG.178.14	chr15	25449081	25667541	+	218461	-1.18272	9.3647713	1.212952E-08	1.250161E-07
MSTRG.178.18	chr15	25455065	25505666	+	50602	-3.26733	5.9154667	5.533974E-18	1.457621E-16
MSTRG.178.2	chr15	25414237	25667541	+	253305	-1.197782	9.4173848	8.393581E-09	8.909306E-08
MSTRG.178.22	chr15	25461583	25505667	+	44085	-3.226959	5.8740803	4.55791E-18	1.252969E-16
MSTRG.178.26	chr15	25655172	25667521	+	12350	-3.395813	3.6888586	4.696193E-13	7.920418E-12
MSTRG.178.3	chr15	25418615	25667563	+	248949	-1.201253	9.3747815	7.641704E-09	8.234129E-08
MSTRG.178.4	chr15	25421448	25667567	+	246120	-1.200946	9.3733617	7.931468E-09	8.460894E-08
MSTRG.178.5	chr15	25421448	25667567	+	246120	-1.200946	9.3733617	7.931468E-09	8.460894E-08
MSTRG.178.7	chr15	25426627	25667567	+	240941	-1.1971	9.3717943	8.434342E-09	8.930357E-08
MSTRG.178.8	chr15	25428482	25667563	+	239082	-1.196647	9.3712973	8.78457E-09	9.278158E-08
