GeneID	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR
MSTRG.2451.1	chr7	66483910	66579526	+	95617	0.1929782	8.352426	0.01570471	0.04000165
MSTRG.2451.2	chr7	66483910	66599488	+	115579	0.1789128	8.381312	0.02830727	0.0659165
MSTRG.2451.3	chr7	66484077	66579526	+	95450	0.19332	8.352057	0.01560421	0.03979195
MSTRG.2451.4	chr7	66484077	66566955	+	82879	0.2354459	8.268264	0.00309964	0.009545962
MSTRG.2451.5	chr7	66484085	66509167	+	25083	0.8751033	5.797804	1.981442E-11	1.585395E-10
MSTRG.2451.6	chr7	66484088	66579526	+	95439	0.19332	8.352057	0.01560421	0.03979195
NM_001033962	chr7	66484122	66562097	+	77976	0.4614579	7.314238	6.927573E-08	4.103447E-07
NM_011668	chr7	66484122	66562097	+	77976	0.4614579	7.314238	6.927573E-08	4.103447E-07
NM_173010	chr7	66484120	66545188	+	61069	0.6005998	6.82587	8.60754E-09	5.527168E-08
MSTRG.2448.1	chr7	66443589	66689912	-	246324	-0.06207905	10.2309	0.5811795	0.7094033
MSTRG.2448.10	chr7	66449372	66616659	-	167288	-0.07866747	9.756469	0.4567646	0.6041648
MSTRG.2448.11	chr7	66450620	66723798	-	273179	-0.03651363	10.24975	0.7454878	0.8396964
MSTRG.2448.12	chr7	66452107	66679700	-	227594	-0.05249673	10.16201	0.6429238	0.7608252
MSTRG.2448.13	chr7	66452265	66804013	-	351749	-0.0005964466	10.36094	0.9959146	1
MSTRG.2448.14	chr7	66452265	66745714	-	293450	-0.01821848	10.29954	0.8729011	0.9220272
MSTRG.2448.15	chr7	66452265	66718202	-	265938	-0.03543689	10.23822	0.7529213	0.8455758
MSTRG.2448.16	chr7	66452265	66587856	-	135592	-0.1035068	9.498025	0.3089402	0.4528141
MSTRG.2448.17	chr7	66452270	66627623	-	175354	-0.05934111	9.777138	0.5774592	0.7059984
MSTRG.2448.18	chr7	66497279	66579518	-	82240	0.2727446	8.785698	0.008473535	0.02333864
MSTRG.2448.19	chr7	66499737	66587826	-	88090	0.2587967	8.912455	0.01610404	0.04086034
MSTRG.2448.2	chr7	66443589	66686171	-	242583	-0.05595611	10.22367	0.6197938	0.7410676
MSTRG.2448.3	chr7	66443696	66671225	-	227530	-0.06667549	10.17394	0.5549205	0.6885203
MSTRG.2448.4	chr7	66443696	66740583	-	296888	-0.03564828	10.3051	0.7537184	0.8459211
MSTRG.2448.5	chr7	66446015	66671225	-	225211	-0.06650524	10.17096	0.5559946	0.6891684
MSTRG.2448.6	chr7	66446015	66768474	-	322460	-0.02163967	10.3581	0.8486767	0.9063365
MSTRG.2448.7	chr7	66446015	66673092	-	227078	-0.06719131	10.17201	0.5517099	0.685619
MSTRG.2448.8	chr7	66446103	66461982	-	15880	-0.9037216	6.418615	2.648378E-10	1.935172E-09
MSTRG.2448.9	chr7	66449372	66774046	-	324675	-0.01294988	10.35027	0.909223	0.9474439
